file_id,relative_path,sha256,size_bytes,data_stage,description,source_or_citation,redistribution_status,dryad_url,consumed_by,produced_by
vi_pht_location_tables,,,,raw,Location-level RGB vegetation-index and plant-height tables produced with FIELDimageR,,pending,,scripts/00_data_prep/combine_vi_pht.R,
jpg_flight_date_table,,,,raw,Plot image names matched to flight dates,,pending,,scripts/00_data_prep/fix_jpg_dates.R,
phenotype_2020,,,,raw,2020 G2F phenotype source table,,pending,,scripts/01_blue_variance/yield_blues.R; scripts/01_blue_variance/dta_dts_blues.R,
phenotype_2021,,,,raw,2021 G2F phenotype source table,,pending,,scripts/01_blue_variance/yield_blues.R; scripts/01_blue_variance/dta_dts_blues.R,
station_weather_raw,,,,raw,In-field air- and soil-temperature observations,,pending,,scripts/02_fpca_weather/clean_mnh1_2020_weather.R; station FPCA,
nasa_power_weather,,,,raw,Archived NASA POWER variables downloaded through EnvRtype,NASA POWER; EnvRtype,review_external_terms,,scripts/02_fpca_weather/acquire_clean_dap_weather_fpca_source.R,
g2f_genotype_hapmap,,,,raw,G2F hybrid genotype marker data in HapMap format,,review_external_terms,,scripts/03_genomics/genomic_imputation.R,
vi_blues,,,,intermediate,Environment-specific VI BLUEs,,generated,,VI FPCA; prediction; QTL,scripts/01_blue_variance/vi_blues.R
yield_dta_dts_blues,,,,processed,"Combined yield, DTA, DTS, and ASI BLUE table",,generated,,prediction and QTL workflows,scripts/01_blue_variance/yield_blues.R; scripts/01_blue_variance/dta_dts_blues.R
weather_cleaned,,,,processed,Cleaned station and NASA POWER/EnvRtype weather tables,,generated,,weather FPCA and prediction workflows,scripts/02_fpca_weather/
fpca_scores_dap,,,,processed,Full-data DAP-domain VI and weather FPC scores,,generated,,figures and QTL workflows,scripts/02_fpca_weather/
fpca_scores_agdd,,,,processed,Full-data AGDD-domain VI and weather FPC scores,,generated,,figures and QTL workflows,scripts/02_fpca_weather/
genomic_relationship_matrices,,,,intermediate,Additive and dominance genomic relationship matrices,,generated,,prediction workflows,scripts/03_genomics/genomic_relationship_matrices.R
qtl_task_outputs,,,,intermediate,"58 DAP and AGDD HPRC scan objects; 32804251447 bytes; see QTL_RDS_MANIFEST.csv",,local_archive_checksummed,,Manuscript QTL downstream compilation,scripts/04_qtl/
qtl_flowering_yield_task_outputs,,,,intermediate,"Optional flowering/yield scan objects not included in the external inventory; required only to regenerate supplementary analyses",,optional_author_retained,,Optional full QTL table regeneration,scripts/04_qtl/
prediction_noze_task_outputs,,,,intermediate,Final no-Ze CV and LOEO HPRC task outputs,,ready_to_package,,prediction result compilation,scripts/05_prediction_cv/; scripts/06_prediction_loeo/
tnp_metrics,results/prediction/tnp/tidy_all_metrics.csv,3F012F75F1330106B329CD2F93BAD452407E574DC300A2105C51C83AC88FF768,8832571,processed,Final transformer neural process metric table,3.2_Prediction_Results_Peiman/20260906_Peiman/tidy_all_metrics.csv,included_in_github,,prediction summaries,external collaborator workflow
drone_data_description,results/drone/Drone_Data_Description_V6.xlsx,CAFBB7B75E8F0459A6D1C128B37415190762140C62D60503CED9F4C2FC1DD174,26069,processed,"Final flight date, environment, camera, and GSD table",Manual workbook assembly from flight-date and orthomosaic-resolution tables,included_in_github,,manuscript data description,manual assembly; source-table scripts under scripts/07_results_figures/drone/
common_females,data/supplementary/Common_Females.csv,D6ADA6057C0A0230DBFE461EC7DEBEB308E8F35F208727FA4AD608B0A689FAA8,3286,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/Common_Females.csv,included_in_github,,configured analysis input resolver,
