DAP,Env,LON,LAT,DOY,YYYYMMDD,daysFromStart,T2M,T2M_MAX,T2M_MIN,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,PRECTOT,EVPTRNS,QV2M,RH2M,GWETROOT,GWETTOP,FROST_DAYS,WS2M,P_ETP,VPD,N,RTA,n,TH1,TH2,n.1,N.1,RTA.1,VPD.1,SPV,ETP,PETP,GDD,FRUE,T2M_RANGE,PTT,PTR,PAR_TEMP
1,DEH1.2020,-75.46570343,38.62902503,135,2020-05-14,1,15.84,21.28,7.36,12.42,29.61,21.36,17.86,9.81,1.28,0.03,0.01,4.5,8.9,80.34,0.76,0.75,0,3.2,-4.49,0.336604642,14.246,39.812,6.391,60.24037744,61.5112,7.57022971364256,14.109707840081,39.8116531287019,0.336604641610214,0.105724385629643,8.97353879179692,-8.96353879179692,6.64,0.287272727272727,13.92,94.59344,2.14548192771084,0.619318182
2,DEH1.2020,-75.46570343,38.62902503,136,2020-05-15,2,21.06,26.29,16.48,16.79,31.25,25.99,24.36,11.73,1.48,0.03,0.05,6.63,11.8,77.81,0.74,0.74,0,4.84,-6.58,0.735027197,14.276,39.924,8.711,68.45468814,68.3044,9.20442377284784,14.1390793049157,39.9237019289326,0.735027197164136,0.156061980533293,11.6027413797054,-11.5527413797054,13.385,0.608409090909091,9.81,191.08426,1.0665670526709,0.556980057
3,DEH1.2020,-75.46570343,38.62902503,137,2020-05-16,3,19.73,26.01,12.66,15.83,31.57,22.84,21.12,10.44,1.34,0.03,0.02,6.11,11.16,79.34,0.73,0.73,0,3.41,-6.09,0.615448447,14.305,40.033,7.547,66.43292418,66.6288,8.08326891727017,14.1678631488049,40.0325657392562,0.615448446897308,0.139717636213917,10.0419003407282,-10.0219003407282,11.335,0.515227272727273,13.35,162.147175,1.26202029113366,0.529143436
4,DEH1.2020,-75.46570343,38.62902503,138,2020-05-17,4,15.88,20.01,12.67,13.41,30.99,16.28,8.02,7.69,1.05,0.03,0.33,2.11,9.46,85.71,0.73,0.73,0,3.47,-1.78,0.364308061,14.334,40.138,2.864,60.38091052,61.9076,5.75789090394077,14.1960446183265,40.138239894087,0.36430806122348,0.118456867388135,6.97645446468327,-6.64645446468327,8.34,0.379090909090909,7.34,119.54556,1.71870503597122,0.484256927
5,DEH1.2020,-75.46570343,38.62902503,139,2020-05-18,5,15.59,19.77,12.74,13.67,31.55,7.43,0.97,3.87,0.57,0.01,1.67,1.49,9.69,88.37,0.73,0.73,0,5.15,0.18,0.324140323,14.362,40.241,0.346,59.93010417,61.7112,2.62623068778876,14.2236089791485,40.2407203626332,0.324140323458805,0.117896016512196,3.18145289241403,-1.51145289241403,8.255,0.375227272727273,7.03,118.55831,1.73979406420351,0.248236049
6,DEH1.2020,-75.46570343,38.62902503,140,2020-05-19,6,13.62,18.1,10.22,7.81,28.55,20.66,6.18,9.52,1.28,0.03,0,2.77,6.53,68.7,0.72,0.72,0,6.3,-2.77,0.602607701,14.39,40.34,2.205,56.7714706,57.6316,7.29836789988116,14.2505415371889,40.3400037100235,0.602607701068691,0.104767644805677,8.6649978785797,-8.6649978785797,6.16,0.28,7.88,88.6424,2.33603896103896,0.6989721
7,DEH1.2020,-75.46570343,38.62902503,141,2020-05-20,7,12.35,16.68,8.99,7.25,29.56,15.17,3.99,7.27,1.02,0.03,0,3.02,6.22,72.04,0.71,0.71,0,5.67,-3.02,0.503829255,14.416,40.436,1.422,54.8097506,56.16,5.3560938102642,14.2768276605594,40.4360870594988,0.503829254781221,0.0971236935961841,6.27154292805212,-6.27154292805212,4.835,0.219772727272727,7.69,69.70136,2.98159255429162,0.588663968
8,DEH1.2020,-75.46570343,38.62902503,142,2020-05-21,8,14.98,20.84,8.95,11.93,30.48,21.62,14.27,10.1,1.35,0.03,0.33,3.66,8.56,83.34,0.71,0.7,0,4.18,-3.33,0.407311775,14.443,40.529,5.085,58.87566868,60.4748,7.62958062883133,14.3024528022451,40.5289680557323,0.407311775449933,0.109224235912913,9.13628043661478,-8.80628043661478,6.895,0.313409090909091,11.89,99.584485,2.09470630891951,0.67423231
9,DEH1.2020,-75.46570343,38.62902503,143,2020-05-22,9,17.99,22.64,13.72,16.56,33.19,13.52,8.61,6.66,0.92,0.02,13.13,1.8,11.67,91.5,0.71,0.74,0,3.63,11.33,0.274952662,14.468,40.619,3.067,64.0836415,65.1516,4.76890558341361,14.3274025234681,40.6186448293305,0.274952661860382,0.131164827618635,5.88865823045087,7.24134176954914,10.18,0.462727272727273,8.92,147.28424,1.42121807465619,0.37020567
10,DEH1.2020,-75.46570343,38.62902503,144,2020-05-23,10,20.95,26.08,15.69,17.17,32.96,25.24,20.15,11.57,1.48,0.03,4.66,5.98,12.11,80.67,0.72,0.73,0,1.75,-1.32,0.621257588,14.493,40.705,7.174,68.46505135,68.3312,8.89902788335751,14.3516625176758,40.7051159625617,0.621257587884203,0.1519336646572,11.2277720496673,-6.56777204966734,12.885,0.585681818181818,10.39,186.742305,1.12479627473807,0.552267303
11,DEH1.2020,-75.46570343,38.62902503,145,2020-05-24,11,15.43,19.35,12.18,12.96,31.82,14.12,5.54,6.8,0.93,0.02,1.39,2.99,9.16,85.72,0.72,0.72,0,3.4,-1.6,0.338699066,14.518,40.788,1.972,59.63467004,61.2956,4.97637034999931,14.3752186350901,40.7883804563501,0.338699065981797,0.114706630136803,6.01808821544289,-4.62808821544289,7.765,0.352954545454546,7.17,112.73227,1.86967160334836,0.440699935
