Env,Latitude,Longitude,Elevation_Meters,State,City
DEH1.2020,38.62902503,-75.46570343,12,DE,Georgetown
IAH4.2021,41.9983322,-93.6944446,321,IA,Ames
MIH1.2020,42.7084916,-84.4705752,266,MI,Lansing
MNH1.2020,44.069073,-93.5324906,348,MN,Waseca
MNH1.2021,44.069073,-93.5324906,348,MN,Waseca
MOH1.2020,38.8963587,-92.2071644,273,MO,Columbia
NEH1.2021,40.8604235,-96.5965444,348,NE,Lincoln
TXH1.2020,30.5382703,-96.4279874,69,TX,College Station
TXH1.2021,30.5382703,-96.4279874,69,TX,College Station
TXH2.2020,30.5378851,-96.4284433,68,TX,College Station
TXH2.2021,30.5378851,-96.4284433,68,TX,College Station
TXH3.2020,30.5386755,-96.4273672,68,TX,College Station
TXH3.2021,30.5386755,-96.4273672,68,TX,College Station
WIH1.2020,43.0544856,-89.5284654,358,WI,Madison
WIH1.2021,43.0544856,-89.5284654,358,WI,Madison
WIH2.2020,43.2952051,-89.3862128,307,WI,Arlington
WIH2.2021,43.3200975,-89.3317344,313,WI,Arlington
WIH3.2020,44.1156288,-89.5448839,335,WI,Hancock
WIH3.2021,44.1156288,-89.5448839,335,WI,Hancock
