Pedigree.Env,Pedigree
B14A/H95.DEH1.2020,B14A/H95
B14A/MO17.DEH1.2020,B14A/MO17
B14A/OH43.DEH1.2020,B14A/OH43
B37/H95.DEH1.2020,B37/H95
B37/MO17.DEH1.2020,B37/MO17
B37/OH43.DEH1.2020,B37/OH43
B73/MO17.DEH1.2020,B73/MO17
B73/PHM49.DEH1.2020,B73/PHM49
B73/PHN82.DEH1.2020,B73/PHN82
B73/TX779.DEH1.2020,B73/TX779
CG119/CG108.DEH1.2020,CG119/CG108
CG44/CGR01.DEH1.2020,CG44/CGR01
F42/H95.DEH1.2020,F42/H95
F42/MO17.DEH1.2020,F42/MO17
F42/OH43.DEH1.2020,F42/OH43
LH74/PHN82.DEH1.2020,LH74/PHN82
LH82/TX779.DEH1.2020,LH82/TX779
PB80/TX779.DEH1.2020,PB80/TX779
PHB47/PHN82.DEH1.2020,PHB47/PHN82
PHG39/PHN82.DEH1.2020,PHG39/PHN82
PHW52/PHM49.DEH1.2020,PHW52/PHM49
PHW52/PHN82.DEH1.2020,PHW52/PHN82
TX714/TX779.DEH1.2020,TX714/TX779
TX773/TX779.DEH1.2020,TX773/TX779
TX777/LH195.DEH1.2020,TX777/LH195
TX779/LH195.DEH1.2020,TX779/LH195
W10004_0006/PHK76.DEH1.2020,W10004_0006/PHK76
W10004_0006/PHZ51.DEH1.2020,W10004_0006/PHZ51
W10004_0007/PHK76.DEH1.2020,W10004_0007/PHK76
W10004_0007/PHP02.DEH1.2020,W10004_0007/PHP02
W10004_0007/PHZ51.DEH1.2020,W10004_0007/PHZ51
W10004_0008/PHK76.DEH1.2020,W10004_0008/PHK76
W10004_0008/PHP02.DEH1.2020,W10004_0008/PHP02
W10004_0008/PHZ51.DEH1.2020,W10004_0008/PHZ51
W10004_0010/PHK76.DEH1.2020,W10004_0010/PHK76
W10004_0010/PHP02.DEH1.2020,W10004_0010/PHP02
W10004_0010/PHZ51.DEH1.2020,W10004_0010/PHZ51
W10004_0011/PHK76.DEH1.2020,W10004_0011/PHK76
W10004_0011/PHP02.DEH1.2020,W10004_0011/PHP02
W10004_0011/PHZ51.DEH1.2020,W10004_0011/PHZ51
W10004_0013/PHK76.DEH1.2020,W10004_0013/PHK76
W10004_0013/PHP02.DEH1.2020,W10004_0013/PHP02
W10004_0013/PHZ51.DEH1.2020,W10004_0013/PHZ51
W10004_0014/PHK76.DEH1.2020,W10004_0014/PHK76
W10004_0014/PHP02.DEH1.2020,W10004_0014/PHP02
W10004_0014/PHZ51.DEH1.2020,W10004_0014/PHZ51
W10004_0018/PHK76.DEH1.2020,W10004_0018/PHK76
W10004_0018/PHP02.DEH1.2020,W10004_0018/PHP02
W10004_0018/PHZ51.DEH1.2020,W10004_0018/PHZ51
W10004_0019/PHZ51.DEH1.2020,W10004_0019/PHZ51
W10004_0026/PHK76.DEH1.2020,W10004_0026/PHK76
W10004_0026/PHP02.DEH1.2020,W10004_0026/PHP02
W10004_0026/PHZ51.DEH1.2020,W10004_0026/PHZ51
W10004_0027/PHK76.DEH1.2020,W10004_0027/PHK76
W10004_0027/PHP02.DEH1.2020,W10004_0027/PHP02
W10004_0027/PHZ51.DEH1.2020,W10004_0027/PHZ51
W10004_0031/PHK76.DEH1.2020,W10004_0031/PHK76
W10004_0031/PHP02.DEH1.2020,W10004_0031/PHP02
W10004_0031/PHZ51.DEH1.2020,W10004_0031/PHZ51
W10004_0032/PHK76.DEH1.2020,W10004_0032/PHK76
W10004_0032/PHP02.DEH1.2020,W10004_0032/PHP02
W10004_0032/PHZ51.DEH1.2020,W10004_0032/PHZ51
W10004_0034/PHK76.DEH1.2020,W10004_0034/PHK76
W10004_0034/PHP02.DEH1.2020,W10004_0034/PHP02
W10004_0034/PHZ51.DEH1.2020,W10004_0034/PHZ51
W10004_0035/PHK76.DEH1.2020,W10004_0035/PHK76
W10004_0035/PHP02.DEH1.2020,W10004_0035/PHP02
W10004_0035/PHZ51.DEH1.2020,W10004_0035/PHZ51
W10004_0037/PHK76.DEH1.2020,W10004_0037/PHK76
W10004_0037/PHP02.DEH1.2020,W10004_0037/PHP02
W10004_0037/PHZ51.DEH1.2020,W10004_0037/PHZ51
W10004_0038/PHK76.DEH1.2020,W10004_0038/PHK76
W10004_0038/PHP02.DEH1.2020,W10004_0038/PHP02
W10004_0038/PHZ51.DEH1.2020,W10004_0038/PHZ51
W10004_0039/PHK76.DEH1.2020,W10004_0039/PHK76
W10004_0039/PHP02.DEH1.2020,W10004_0039/PHP02
W10004_0039/PHZ51.DEH1.2020,W10004_0039/PHZ51
W10004_0041/PHK76.DEH1.2020,W10004_0041/PHK76
W10004_0041/PHP02.DEH1.2020,W10004_0041/PHP02
W10004_0041/PHZ51.DEH1.2020,W10004_0041/PHZ51
W10004_0042/PHK76.DEH1.2020,W10004_0042/PHK76
W10004_0042/PHP02.DEH1.2020,W10004_0042/PHP02
W10004_0042/PHZ51.DEH1.2020,W10004_0042/PHZ51
W10004_0045/PHK76.DEH1.2020,W10004_0045/PHK76
W10004_0045/PHP02.DEH1.2020,W10004_0045/PHP02
W10004_0045/PHZ51.DEH1.2020,W10004_0045/PHZ51
W10004_0046/PHK76.DEH1.2020,W10004_0046/PHK76
W10004_0046/PHP02.DEH1.2020,W10004_0046/PHP02
W10004_0046/PHZ51.DEH1.2020,W10004_0046/PHZ51
W10004_0047/PHK76.DEH1.2020,W10004_0047/PHK76
W10004_0047/PHP02.DEH1.2020,W10004_0047/PHP02
W10004_0047/PHZ51.DEH1.2020,W10004_0047/PHZ51
W10004_0053/PHK76.DEH1.2020,W10004_0053/PHK76
W10004_0053/PHP02.DEH1.2020,W10004_0053/PHP02
W10004_0053/PHZ51.DEH1.2020,W10004_0053/PHZ51
W10004_0055/PHK76.DEH1.2020,W10004_0055/PHK76
W10004_0055/PHP02.DEH1.2020,W10004_0055/PHP02
W10004_0055/PHZ51.DEH1.2020,W10004_0055/PHZ51
W10004_0059/PHK76.DEH1.2020,W10004_0059/PHK76
W10004_0059/PHP02.DEH1.2020,W10004_0059/PHP02
W10004_0059/PHZ51.DEH1.2020,W10004_0059/PHZ51
