grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,3.68903959763227,1.92068727221072,1.75,5.15952973428049,0.188,0.848388680299831,TXH3.2020.10,BI,10,2020,TXH3.2020
Pass,17.1573196593409,4.14213950264123,8.14,5.15952973428049,0.188,0.848388680299831,TXH3.2020.10,BI,10,2020,TXH3.2020
Range,157.973613925118,12.568755464449,74.95,5.15952973428049,0.188,0.848388680299831,TXH3.2020.10,BI,10,2020,TXH3.2020
Replicate,3.48639218114084e-09,5.90456787677205e-05,0,5.15952973428049,0.188,0.848388680299831,TXH3.2020.10,BI,10,2020,TXH3.2020
Residual,31.9560276474137,5.65296626979268,15.16,5.15952973428049,0.188,0.848388680299831,TXH3.2020.10,BI,10,2020,TXH3.2020
Pedigree,5.65836995563494e-06,0.00237873284662968,2.17,0.00673148868388372,0.174,0.793862715655096,TXH3.2020.10,GLI,10,2020,TXH3.2020
Pass,2.01881762333882e-05,0.00449312544153712,7.73,0.00673148868388372,0.174,0.793862715655096,TXH3.2020.10,GLI,10,2020,TXH3.2020
Range,0.000181450470214996,0.0134703552371493,69.49,0.00673148868388372,0.174,0.793862715655096,TXH3.2020.10,GLI,10,2020,TXH3.2020
Replicate,0,0,0,0.00673148868388372,0.174,0.793862715655096,TXH3.2020.10,GLI,10,2020,TXH3.2020
Residual,5.38274983465665e-05,0.0073367225889062,20.61,0.00673148868388372,0.174,0.793862715655096,TXH3.2020.10,GLI,10,2020,TXH3.2020
Pedigree,5.00054317915178e-06,0.00223618943275202,8.92,0.00585117024950997,0.198,0.279839905948229,TXH3.2020.10,NGRDI,10,2020,TXH3.2020
Pass,4.68343575692202e-06,0.00216412470918892,8.35,0.00585117024950997,0.198,0.279839905948229,TXH3.2020.10,NGRDI,10,2020,TXH3.2020
Range,6.00906402399671e-06,0.00245133923070568,10.72,0.00585117024950997,0.198,0.279839905948229,TXH3.2020.10,NGRDI,10,2020,TXH3.2020
Replicate,0,0,0,0.00585117024950997,0.198,0.279839905948229,TXH3.2020.10,NGRDI,10,2020,TXH3.2020
Residual,4.03856028173968e-05,0.00635496678334331,72.02,0.00585117024950997,0.198,0.279839905948229,TXH3.2020.10,NGRDI,10,2020,TXH3.2020
Pedigree,1.48712136274819e-05,0.00385632125574127,8.2,0.0100353768046873,0.2,0.343788270881507,TXH3.2020.10,VARI,10,2020,TXH3.2020
Pass,1.35524201389703e-05,0.00368136118018462,7.47,0.0100353768046873,0.2,0.343788270881507,TXH3.2020.10,VARI,10,2020,TXH3.2020
Range,3.39495133343149e-05,0.00582662109067638,18.71,0.0100353768046873,0.2,0.343788270881507,TXH3.2020.10,VARI,10,2020,TXH3.2020
Replicate,0,0,0,0.0100353768046873,0.2,0.343788270881507,TXH3.2020.10,VARI,10,2020,TXH3.2020
Residual,0.000119055808985594,0.010911269815452,65.62,0.0100353768046873,0.2,0.343788270881507,TXH3.2020.10,VARI,10,2020,TXH3.2020
Pedigree,2.27207932355522e-05,0.00476663332295995,0.69,0.0175414299141581,0.113,0.892139327936432,TXH3.2020.10,BGI,10,2020,TXH3.2020
Pass,0.000160736006518492,0.0126781704720552,4.88,0.0175414299141581,0.113,0.892139327936432,TXH3.2020.10,BGI,10,2020,TXH3.2020
Range,0.00274166340832713,0.0523608957937804,83.22,0.0175414299141581,0.113,0.892139327936432,TXH3.2020.10,BGI,10,2020,TXH3.2020
Replicate,1.40941113852649e-05,0.00375421248536426,0.43,0.0175414299141581,0.113,0.892139327936432,TXH3.2020.10,BGI,10,2020,TXH3.2020
Residual,0.000355354395786821,0.0188508460231052,10.79,0.0175414299141581,0.113,0.892139327936432,TXH3.2020.10,BGI,10,2020,TXH3.2020
Pedigree,5.67409539630511e-05,0.00753265915617129,1.75,0.0202332049476392,0.188,0.84838615797112,TXH3.2020.10,BI_new,10,2020,TXH3.2020
Pass,0.00026384585528244,0.016243332640885,8.14,0.0202332049476392,0.188,0.84838615797112,TXH3.2020.10,BI_new,10,2020,TXH3.2020
Range,0.00242934842081312,0.0492884207579541,74.95,0.0202332049476392,0.188,0.84838615797112,TXH3.2020.10,BI_new,10,2020,TXH3.2020
Replicate,0,0,0,0.0202332049476392,0.188,0.84838615797112,TXH3.2020.10,BI_new,10,2020,TXH3.2020
Residual,0.000491436878881694,0.0221683756482448,15.16,0.0202332049476392,0.188,0.84838615797112,TXH3.2020.10,BI_new,10,2020,TXH3.2020
Pedigree,5.65837081723295e-06,0.00237873302773408,2.17,0.00673148878966868,0.174,0.793862574756433,TXH3.2020.10,GLI_new,10,2020,TXH3.2020
Pass,2.01881735788047e-05,0.00449312514613211,7.73,0.00673148878966868,0.174,0.793862574756433,TXH3.2020.10,GLI_new,10,2020,TXH3.2020
Range,0.000181450306578717,0.0134703491632072,69.49,0.00673148878966868,0.174,0.793862574756433,TXH3.2020.10,GLI_new,10,2020,TXH3.2020
Replicate,0,0,0,0.00673148878966868,0.174,0.793862574756433,TXH3.2020.10,GLI_new,10,2020,TXH3.2020
Residual,5.38275017362368e-05,0.00733672281991332,20.61,0.00673148878966868,0.174,0.793862574756433,TXH3.2020.10,GLI_new,10,2020,TXH3.2020
Pedigree,5.00073118990773e-06,0.0022362314705566,8.92,0.00585114621970052,0.198,0.279842571650461,TXH3.2020.10,NGRDI_new,10,2020,TXH3.2020
Pass,4.68362707504532e-06,0.00216416891093217,8.35,0.00585114621970052,0.198,0.279842571650461,TXH3.2020.10,NGRDI_new,10,2020,TXH3.2020
Range,6.00881448098492e-06,0.0024512883308548,10.71,0.00585114621970052,0.198,0.279842571650461,TXH3.2020.10,NGRDI_new,10,2020,TXH3.2020
Replicate,5.11416862906637e-15,7.15134157278644e-08,0,0.00585114621970052,0.198,0.279842571650461,TXH3.2020.10,NGRDI_new,10,2020,TXH3.2020
Residual,4.03854026368763e-05,0.00635495103339721,72.02,0.00585114621970052,0.198,0.279842571650461,TXH3.2020.10,NGRDI_new,10,2020,TXH3.2020
Pedigree,2.27195703106514e-05,0.00476650504150069,0.69,0.0175414882052558,0.113,0.892137068719741,TXH3.2020.10,BGI_new,10,2020,TXH3.2020
Pass,0.000160734918835057,0.0126781275760681,4.88,0.0175414882052558,0.113,0.892137068719741,TXH3.2020.10,BGI_new,10,2020,TXH3.2020
Range,0.00274161229837367,0.0523604077368929,83.22,0.0175414882052558,0.113,0.892137068719741,TXH3.2020.10,BGI_new,10,2020,TXH3.2020
Replicate,1.409146925964e-05,0.00375386058074084,0.43,0.0175414882052558,0.113,0.892137068719741,TXH3.2020.10,BGI_new,10,2020,TXH3.2020
Residual,0.000355355960634736,0.0188508875290989,10.79,0.0175414882052558,0.113,0.892137068719741,TXH3.2020.10,BGI_new,10,2020,TXH3.2020
Pedigree,8.0236439164642e-07,0.000895747950958538,0.36,0.00407056683802848,0.079,0.915536415716005,TXH3.2020.10,BCC,10,2020,TXH3.2020
Pass,7.84177162479649e-06,0.00280031634370056,3.52,0.00407056683802848,0.079,0.915536415716005,TXH3.2020.10,BCC,10,2020,TXH3.2020
Range,0.000193081592312519,0.0138953802507351,86.77,0.00407056683802848,0.079,0.915536415716005,TXH3.2020.10,BCC,10,2020,TXH3.2020
Replicate,2.00139376687739e-06,0.00141470624755721,0.9,0.00407056683802848,0.079,0.915536415716005,TXH3.2020.10,BCC,10,2020,TXH3.2020
Residual,1.87950174921446e-05,0.00433532207478805,8.45,0.00407056683802848,0.079,0.915536415716005,TXH3.2020.10,BCC,10,2020,TXH3.2020
Pedigree,5.5584335724939e-06,0.00235763304449482,3.98,0.00611724590613283,0.198,0.67781005714539,TXH3.2020.10,CIVE,10,2020,TXH3.2020
Pass,1.61935786425446e-05,0.00402412458089266,11.6,0.00611724590613283,0.198,0.67781005714539,TXH3.2020.10,CIVE,10,2020,TXH3.2020
Range,7.29082334096783e-05,0.00853863182305446,52.21,0.00611724590613283,0.198,0.67781005714539,TXH3.2020.10,CIVE,10,2020,TXH3.2020
Replicate,0,0,0,0.00611724590613283,0.198,0.67781005714539,TXH3.2020.10,CIVE,10,2020,TXH3.2020
Residual,4.49957606956678e-05,0.00670788794596838,32.22,0.00611724590613283,0.198,0.67781005714539,TXH3.2020.10,CIVE,10,2020,TXH3.2020
