"grp","vcov","sdcor","Percent","Rmse","Heritability","R_squared","Env"
"Pedigree",1.29756073349135,1.13910523372134,28.19,1.15781275182323,0.557,0.550711522419106,"DEH1.2020"
"Pass",0.82333820807002,0.907379858752673,17.89,1.15781275182323,0.557,0.550711522419106,"DEH1.2020"
"Range",0.348179679599673,0.590067521220811,7.57,1.15781275182323,0.557,0.550711522419106,"DEH1.2020"
"Replicate",0.0654699072051692,0.25587087994762,1.42,1.15781275182323,0.557,0.550711522419106,"DEH1.2020"
"Residual",2.06776761209281,1.43797343928628,44.93,1.15781275182323,0.557,0.550711522419106,"DEH1.2020"
"Pedigree",0.528418605991263,0.726924071682361,16.56,1.16803210878947,0.373,0.442820893832773,"MIH1.2020"
"Pass",0.639191838529409,0.799494739525789,20.03,1.16803210878947,0.373,0.442820893832773,"MIH1.2020"
"Range",0.245464990362613,0.49544423537126,7.69,1.16803210878947,0.373,0.442820893832773,"MIH1.2020"
"Replicate",0,0,0,1.16803210878947,0.373,0.442820893832773,"MIH1.2020"
"Residual",1.77800126127848,1.33341713701245,55.72,1.16803210878947,0.373,0.442820893832773,"MIH1.2020"
"Pedigree",2.28341657059415,1.51109780312002,52.63,1.07592196637487,0.69,0.526811343458556,"MNH1.2020"
"Pass",0.00200546702768551,0.0447824410643894,0.05,1.07592196637487,0.69,0.526811343458556,"MNH1.2020"
"Range",2.43998107148908e-06,0.00156204387630088,0,1.07592196637487,0.69,0.526811343458556,"MNH1.2020"
"Replicate",6.08043968827447e-09,7.79771741490705e-05,0,1.07592196637487,0.69,0.526811343458556,"MNH1.2020"
"Residual",2.0527973713727,1.43275865775528,47.32,1.07592196637487,0.69,0.526811343458556,"MNH1.2020"
"Pedigree",0.810296801202902,0.900164874455176,30.92,0.982289879007798,0.526,0.442817995484902,"MOH1.2020"
"Pass",0.256595885107666,0.506552944032177,9.79,0.982289879007798,0.526,0.442817995484902,"MOH1.2020"
"Range",0.091434882654219,0.302382014435745,3.49,0.982289879007798,0.526,0.442817995484902,"MOH1.2020"
"Replicate",0.00229693454222309,0.0479263449704136,0.09,0.982289879007798,0.526,0.442817995484902,"MOH1.2020"
"Residual",1.4603721934228,1.20845860227929,55.72,0.982289879007798,0.526,0.442817995484902,"MOH1.2020"
"Pedigree",2.17258866099588,1.4739703731744,38.18,1.09889242478453,0.691,0.658638265663736,"TXH1.2020"
"Pass",0.386859345873543,0.621980181254631,6.8,1.09889242478453,0.691,0.658638265663736,"TXH1.2020"
"Range",1.18802776443543,1.08996686391625,20.88,1.09889242478453,0.691,0.658638265663736,"TXH1.2020"
"Replicate",0,0,0,1.09889242478453,0.691,0.658638265663736,"TXH1.2020"
