Domain,CV,Environment,Mean_Scored_N,Kernel_r,TNP_r,Kernel_RMSE,TNP_RMSE,Correlation_Difference,RMSE_Difference
DAP,CV0,DEH1.2020,524,0.70064623159503,0.378358062459592,1.91254092853217,2.40643249476215,-0.322288169135438,0.493891566229975
AGDD,CV0,DEH1.2020,524,0.687575104967617,0.378358062459592,1.74459074440363,2.40643249476215,-0.309217042508025,0.661841750358516
DAP,CV0,IAH4.2021,516,0.527684240368179,0.437066670399935,1.58826855440499,1.62743529079303,-0.0906175699682442,0.0391667363880319
AGDD,CV0,IAH4.2021,516,0.464953329026942,0.437066670399935,1.52885236443058,1.62743529079303,-0.0278866586270068,0.0985829263624436
DAP,CV0,MIH1.2020,187.2,0.50986068940949,0.337639050023885,3.26404637206488,1.62470086723117,-0.172221639385605,-1.63934550483371
AGDD,CV0,MIH1.2020,187.2,0.444840103626715,0.337639050023885,3.35077541234299,1.62470086723117,-0.10720105360283,-1.72607454511182
DAP,CV0,MNH1.2020,184.8,0.495269991757245,0.208268818194933,2.62751832116952,2.1070931269981,-0.287001173562311,-0.520425194171418
AGDD,CV0,MNH1.2020,184.8,0.538938320697505,0.208268818194933,1.704652343174,2.1070931269981,-0.330669502502572,0.402440783824093
DAP,CV0,MNH1.2021,188.8,0.426876458408876,0.483846810350062,1.78460154001719,1.59614913065973,0.0569703519411861,-0.188452409357455
AGDD,CV0,MNH1.2021,188.8,0.450887471221769,0.483846810350062,1.69814833939361,1.59614913065973,0.0329593391282926,-0.101999208733875
DAP,CV0,MOH1.2020,460,0.245061881869145,0.164260526874738,2.2291657493164,4.29014950253349,-0.0808013549944075,2.06098375321709
AGDD,CV0,MOH1.2020,460,0.27547204675498,0.164260526874738,1.98678420917387,4.29014950253349,-0.111211519880242,2.30336529335962
DAP,CV0,NEH1.2021,186.4,0.367897086091803,0.349113642721756,2.94017059313446,3.42654872634897,-0.0187834433700474,0.486378133214509
AGDD,CV0,NEH1.2021,186.4,0.467363915728135,0.349113642721756,2.82381361134928,3.42654872634897,-0.11825027300638,0.602735114999694
DAP,CV0,TXH1.2020,186.4,0.696030648322903,0.595855926260412,1.29424303156473,1.71196764959309,-0.100174722062491,0.417724618028364
AGDD,CV0,TXH1.2020,186.4,0.72470010801709,0.595855926260412,1.56762902490959,1.71196764959309,-0.128844181756678,0.144338624683507
DAP,CV0,TXH1.2021,186.4,0.0647349153088052,0.184150619706938,2.91584815256369,1.63080256917191,0.119415704398133,-1.28504558339178
AGDD,CV0,TXH1.2021,186.4,0.123966652679553,0.184150619706938,2.02093284549525,1.63080256917191,0.0601839670273852,-0.390130276323338
DAP,CV0,TXH2.2020,186.4,0.50457595883632,0.478453177396523,1.87683480491884,1.66247154578642,-0.0261227814397967,-0.214363259132422
AGDD,CV0,TXH2.2020,186.4,0.531556124345595,0.478453177396523,1.52376735047772,1.66247154578642,-0.0531029469490718,0.138704195308699
DAP,CV0,TXH2.2021,186.4,0.269087780032248,0.0441926555741112,2.8509519772922,2.05894495261591,-0.224895124458136,-0.792007024676285
AGDD,CV0,TXH2.2021,186.4,0.232012008691137,0.0441926555741112,1.99226301022564,2.05894495261591,-0.187819353117025,0.0666819423902774
DAP,CV0,TXH3.2020,188.8,-0.066415139711356,-0.00448558262897833,1.65224795078679,2.76341002112255,0.0619295570823777,1.11116207033576
AGDD,CV0,TXH3.2020,188.8,-0.0673263543318836,-0.00448558262897833,1.72610915698611,2.76341002112255,0.0628407717029052,1.03730086413644
DAP,CV0,TXH3.2021,186.4,0.460095731106632,0.424458163899014,4.52265432133654,3.72134980035648,-0.0356375672076182,-0.801304520980061
AGDD,CV0,TXH3.2021,186.4,0.504305333759457,0.424458163899014,4.92275264883427,3.72134980035648,-0.079847169860443,-1.20140284847779
DAP,CV0,WIH1.2020,184.8,0.507256941085343,0.533512437404601,1.86354312230078,1.98136219296103,0.0262554963192587,0.117819070660254
AGDD,CV0,WIH1.2020,184.8,0.553969677067827,0.533512437404601,1.76781507524099,1.98136219296103,-0.0204572396632261,0.21354711772004
DAP,CV0,WIH1.2021,186.4,0.390611826123722,0.438018632427908,3.52866880815726,2.42808186341574,0.0474068063041864,-1.10058694474152
AGDD,CV0,WIH1.2021,186.4,0.387599021498499,0.438018632427908,3.37083070203333,2.42808186341574,0.0504196109294088,-0.94274883861759
DAP,CV0,WIH2.2020,522.4,0.184544345860183,0.323566602084212,2.82425242487318,2.81113812159804,0.139022256224029,-0.0131143032751408
AGDD,CV0,WIH2.2020,522.4,-0.0239933168033099,0.323566602084212,5.11959782806278,2.81113812159804,0.347559918887522,-2.30845970646474
DAP,CV0,WIH2.2021,524,0.410240734062907,0.326889290356695,3.46461461738709,2.40489341897012,-0.0833514437062114,-1.05972119841697
AGDD,CV0,WIH2.2021,524,0.417808167163321,0.326889290356695,2.99411266552305,2.40489341897012,-0.0909188768066257,-0.589219246552922
DAP,CV0,WIH3.2020,187.2,0.18549501945401,0.311815645479901,2.44460522303632,2.36383878182482,0.126320626025892,-0.0807664412114981
