Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,DEH1.2020,524,0.688523658833148,1.87158193117923
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,DEH1.2020,131,0.731465715956995,2.15224153741807
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,IAH4.2021,514,0.527878127152312,1.56896678208936
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,IAH4.2021,131,0.494246778099911,1.64762135725062
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,MIH1.2020,188,0.507183796131456,3.22529807678876
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,MIH1.2020,46,0.388482602850009,3.37376525712939
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,MNH1.2020,185,0.539512058513506,2.64499134494878
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,MNH1.2020,46,0.258836837725278,2.28965111151777
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,MNH1.2021,189,0.457539126331817,1.82544525917468
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,MNH1.2021,47,0.198735701616921,1.65170338849378
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,MOH1.2020,462,0.218539627209408,2.24445810129517
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,MOH1.2020,113,0.35624456112111,2.21835990117249
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,NEH1.2021,186,0.332413646013378,2.91137515987435
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,NEH1.2021,47,0.44302359781563,3.12707508070895
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH1.2020,186,0.692058266765427,1.28023825056714
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH1.2020,47,0.733571634375155,1.28471407754696
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH1.2021,186,0.108452490124557,2.99082547698756
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH1.2021,47,-0.0746277526322421,2.69563721348037
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH2.2020,186,0.596334152845775,1.89286292448608
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH2.2020,47,0.0863408201648649,1.87900698268157
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH2.2021,186,0.248846118320334,2.88308606475596
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH2.2021,47,0.221038019513622,2.78257227433878
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH3.2020,189,-0.0631686054555293,1.60607115329861
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH3.2020,47,-0.132795355312988,1.90753794135953
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,TXH3.2021,186,0.44933615039726,4.50636665784524
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,TXH3.2021,47,0.394388588045519,4.60765434008069
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH1.2020,185,0.542952260414909,1.8772382883287
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,WIH1.2020,46,0.16141429946092,1.86964903314215
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH1.2021,186,0.40119701364083,3.51365065211147
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,WIH1.2021,47,0.277857260408787,3.68351140760759
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH2.2020,521,0.205370273542533,2.75583031530891
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,WIH2.2020,132,-0.00736209365429046,3.17179261826872
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH2.2021,523,0.404329563858105,3.43680892284908
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,WIH2.2021,132,0.364918884875731,3.50493129002027
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH3.2020,188,0.210228650201931,2.44593157401701
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,WIH3.2020,46,0.0917440813205457,2.42440301061785
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,WIH3.2021,186,0.572667784629562,1.58072755450849
