Domain,CV,Seed,Aggregation,RMSE_Difference
DAP,CV0,1,Pooled,0.0546272642385666
AGDD,CV0,1,Pooled,-0.126985191227415
DAP,CV0,2,Pooled,-0.0704129354688687
AGDD,CV0,2,Pooled,-0.252100459840066
DAP,CV0,3,Pooled,-0.0557916158318039
AGDD,CV0,3,Pooled,-0.238147131404581
DAP,CV0,4,Pooled,0.0642000737785025
AGDD,CV0,4,Pooled,-0.118023384099335
DAP,CV0,5,Pooled,0.0333810034776127
AGDD,CV0,5,Pooled,-0.148815952672634
DAP,CV00,1,Pooled,0.0608039515225953
AGDD,CV00,1,Pooled,-0.113006442982241
DAP,CV00,2,Pooled,-0.0633293426650772
AGDD,CV00,2,Pooled,-0.2384867907497
DAP,CV00,3,Pooled,-0.0522269832709306
AGDD,CV00,3,Pooled,-0.225797388090719
DAP,CV00,4,Pooled,0.0691111810469858
AGDD,CV00,4,Pooled,-0.105048213959884
DAP,CV00,5,Pooled,0.0296154512091329
AGDD,CV00,5,Pooled,-0.146651055916215
DAP,CV0,1,Equal_Environment,-0.125688273279941
AGDD,CV0,1,Equal_Environment,-0.0551195342961375
DAP,CV0,2,Equal_Environment,-0.131288942883649
AGDD,CV0,2,Equal_Environment,-0.0612922059479795
DAP,CV0,3,Equal_Environment,-0.141653894824154
AGDD,CV0,3,Equal_Environment,-0.0728380777941018
DAP,CV0,4,Equal_Environment,-0.186599562918852
AGDD,CV0,4,Equal_Environment,-0.117210581096451
DAP,CV0,5,Equal_Environment,-0.114582477307823
AGDD,CV0,5,Equal_Environment,-0.0451023416433309
DAP,CV00,1,Equal_Environment,-0.11710709250269
AGDD,CV00,1,Equal_Environment,-0.0481791158797913
DAP,CV00,2,Equal_Environment,-0.116154417753056
AGDD,CV00,2,Equal_Environment,-0.0478699309176038
DAP,CV00,3,Equal_Environment,-0.134667939795813
AGDD,CV00,3,Equal_Environment,-0.0647587474228244
DAP,CV00,4,Equal_Environment,-0.174589903629517
AGDD,CV00,4,Equal_Environment,-0.103885455221479
DAP,CV00,5,Equal_Environment,-0.113624237091426
AGDD,CV00,5,Equal_Environment,-0.0448989311732682
