Series,CV,Seed,Pooled,Equal_Environment
M10 DAP,CV0,1,2.58175062791845,2.48140759270487
M10 DAP,CV00,1,2.60099511289133,2.4950869018892
M10 DAP,CV0,2,2.58178232569604,2.48139576808427
M10 DAP,CV00,2,2.59878940335519,2.49079810898701
M10 DAP,CV0,3,2.58133129103294,2.48087049903134
M10 DAP,CV00,3,2.5997113856812,2.49270704627028
M10 DAP,CV0,4,2.58108924508452,2.4806718164774
M10 DAP,CV00,4,2.6033981373262,2.4997574150859
M10 DAP,CV0,5,2.58129659744737,2.48086280886597
M10 DAP,CV00,5,2.59992731859391,2.49402829366863
M10 AGDD,CV0,1,2.76336308338443,2.41083885372107
M10 AGDD,CV00,1,2.77480550739617,2.4261589252663
M10 AGDD,CV0,2,2.76346985006724,2.4113990311486
M10 AGDD,CV00,2,2.77394685143981,2.42251362215156
M10 AGDD,CV0,3,2.76368680660572,2.41205468200129
M10 AGDD,CV00,3,2.77328179050099,2.42279785389729
M10 AGDD,CV0,4,2.76331270296235,2.411282834655
M10 AGDD,CV00,4,2.77755753233307,2.42905296667786
M10 AGDD,CV0,5,2.76349355359762,2.41138267320147
M10 AGDD,CV00,5,2.77619382571926,2.42530298775047
TNP VI+G+W,CV0,1,2.63637789215702,2.35571931942493
TNP VI+G+W,CV0,2,2.51136939022717,2.35010682520062
TNP VI+G+W,CV0,3,2.52553967520114,2.33921660420719
TNP VI+G+W,CV0,4,2.64528931886302,2.29407225355855
TNP VI+G+W,CV0,5,2.61467760092498,2.36628033155814
TNP VI+G+W,CV00,1,2.66179906441393,2.37797980938651
TNP VI+G+W,CV00,2,2.53546006069011,2.37464369123396
TNP VI+G+W,CV00,3,2.54748440241027,2.35803910647447
TNP VI+G+W,CV00,4,2.67250931837318,2.32516751145638
TNP VI+G+W,CV00,5,2.62954276980305,2.3804040565772
TNP VI,CV0,1,2.73506657153188,2.45437368278089
TNP VI,CV0,2,2.91246908035573,2.57538372047629
TNP VI,CV0,3,2.51126728971153,2.32940531694881
TNP VI,CV0,4,2.76028791210615,2.42453805673968
TNP VI,CV0,5,2.69265100148494,2.42240627146049
TNP VI,CV00,1,2.73569674959969,2.45122751373914
TNP VI,CV00,2,2.91386377502798,2.56912367083267
TNP VI,CV00,3,2.5082682550269,2.32185735477015
TNP VI,CV00,4,2.7546545077005,2.40326676274495
TNP VI,CV00,5,2.7030030336636,2.42388660968612
TNP VI+G,CV0,1,2.70743817072687,2.38598460262412
TNP VI+G,CV0,2,2.49807122591658,2.28895698346418
TNP VI+G,CV0,3,2.59649181941102,2.35326355890625
TNP VI+G,CV0,4,2.53893744850839,2.3652333649809
TNP VI+G,CV0,5,2.61932473591816,2.39010524218734
TNP VI+G,CV00,1,2.74090421495953,2.42005771056671
TNP VI+G,CV00,2,2.54484211355405,2.32767275898851
TNP VI+G,CV00,3,2.61548983062197,2.37686879063103
TNP VI+G,CV00,4,2.56520774283489,2.38936098346253
TNP VI+G,CV00,5,2.64515152101542,2.41137432029966
