Method,Model,Time_Domain,Series,CV,Seed,Fold,N,Environments,Correlation,RMSE,Equal_Environment_RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,1,5156,19,0.444340976850426,2.56801388526984,2.47693444686393
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,1,1293,19,0.373909354033035,2.65404767944145,2.51235485172159
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,2,5148,19,0.432530478750073,2.58796253149319,2.47525468992151
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,2,1301,19,0.453733550560028,2.56614787726257,2.50241437934958
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,3,5111,19,0.431079612309715,2.5805019883746,2.48285434384291
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,3,1338,19,0.425808351085156,2.61822465245543,2.4987579987541
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,4,5147,19,0.432507292703996,2.5864442607432,2.48906531369072
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,4,1302,19,0.40821035439981,2.59713372504753,2.49218219315944
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,5,5234,19,0.457931688383595,2.58583047371142,2.48292916920528
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,5,1215,19,0.345706831843332,2.5694216302497,2.4697250864613
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,5187,19,0.432364150883461,2.58090321110286,2.48137290935829
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,1262,19,0.416965917296084,2.60613403642097,2.49929947351674
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,2,5139,19,0.435992722071646,2.58406918637353,2.48675733431434
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,2,1310,19,0.426921523562646,2.59683219790751,2.49487908585858
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,3,5172,19,0.447695737328917,2.58912808471512,2.4945748367479
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,3,1277,19,0.370450724016578,2.58011155814481,2.45221177105064
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,4,5156,19,0.450636715549066,2.59107856755165,2.48466681547403
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,4,1293,19,0.363277614464174,2.56633649021921,2.46590280950372
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,5,5142,19,0.430587151266447,2.56373257873706,2.4596069445268
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,5,1307,19,0.45355565776197,2.64453273408343,2.54169740500538
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,1,5154,19,0.42053790926453,2.57169237663157,2.47249433722776
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,1,1295,19,0.452147066321863,2.64999381375861,2.55401685369977
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,2,5161,19,0.448593442685315,2.58758483448451,2.49043152003897
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,2,1288,19,0.360046012813173,2.56280424265653,2.44611442040896
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,3,5149,19,0.450804019692767,2.59981964548249,2.49324435202335
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,3,1300,19,0.406487904724632,2.51288012035423,2.42374120785601
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,4,5121,19,0.438350608785473,2.57102306836782,2.46880623136154
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,4,1328,19,0.434395287505608,2.6385856063957,2.52834858532303
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,5,5211,19,0.439747513498799,2.57653653019832,2.47937605450507
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,5,1238,19,0.421390961260599,2.63429314524093,2.51131416406362
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,1,5120,19,0.43583691963351,2.58596579192826,2.48999471146948
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,1,1329,19,0.425684098546543,2.58923643177058,2.46926291872398
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,2,5102,19,0.428846128181812,2.56959052587588,2.47213089093395
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,2,1347,19,0.376956049353778,2.67065157902989,2.57962396012225
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,3,5139,19,0.445666358865459,2.5740359857723,2.47531175226551
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,3,1310,19,0.418402218284306,2.60842606094856,2.4841895437518
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,4,5186,19,0.437135770422638,2.58539245377599,2.48664751696073
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,4,1263,19,0.437603237239653,2.58186025982837,2.45757728053809
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,5,5249,19,0.447878828552819,2.59046146807015,2.47927421075733
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,5,1200,19,0.363030431789032,2.56681635505357,2.50813337229336
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,1,5178,19,0.444064809566386,2.6065024263417,2.50155855848801
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,1,1271,19,0.389788508592144,2.4987508675311,2.41359112396536
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,2,5131,19,0.446401172840366,2.56956937083045,2.46890965372097
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,2,1318,19,0.397405554358416,2.64020376319378,2.53412037553736
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,3,5112,19,0.449563138349877,2.57477920457023,2.47734241058786
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,3,1337,19,0.357862865574424,2.61719729841361,2.48829559943355
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,4,5174,19,0.443314898858087,2.57319476899508,2.48174686596357
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,4,1275,19,0.411500040482016,2.62054512261331,2.47805543286177
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,5,5201,19,0.412682939472202,2.5824372164994,2.47475655556943
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,5,1248,19,0.472775527972385,2.62293954121777,2.5560789365451
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,1,5156,19,0.438111170598327,2.72898512825619,2.40172467807294
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,1,1293,19,0.372327925728898,2.87610071642255,2.43990507348837
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,2,5148,19,0.425758329400567,2.77373017593236,2.4046769484628
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,2,1301,19,0.423326728830716,2.75694983901543,2.45032223845391
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,3,5111,19,0.427607519950634,2.75865401401145,2.40741253015985
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,3,1338,19,0.407683231116933,2.82437079411821,2.44683401733219
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,4,5147,19,0.421124810890819,2.76392817395193,2.42179082093379
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,4,1302,19,0.422892307019188,2.7253215122053,2.40265114432812
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,5,5234,19,0.446598521775717,2.79151792477022,2.41858929097595
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,5,1215,19,0.369845283750647,2.69128467521935,2.39108215272893
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,1,5187,19,0.419251747098712,2.75707210912466,2.4140729943343
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,1,1262,19,0.425640153623277,2.74591680879703,2.40038499410401
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,2,5139,19,0.428232464573665,2.7493049232371,2.4097009239555
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,2,1310,19,0.41567273128875,2.82713972194102,2.43980368735332
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,3,5172,19,0.447091938314241,2.74821854325334,2.41370570505052
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,3,1277,19,0.330898064775755,2.79443414017343,2.39862676234067
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,4,5156,19,0.440853849888383,2.77695147323792,2.41370157498767
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,4,1293,19,0.371063585720037,2.71351585211655,2.40079490730961
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,5,5142,19,0.42206562839183,2.78580220148318,2.40581395741503
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,5,1307,19,0.451473276021154,2.78872773417101,2.4729577596502
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,1,5154,19,0.412219619278602,2.74157905804753,2.40282909565581
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,1,1295,19,0.453538325818958,2.8603969917864,2.48783721457154
