Method,Model,Time_Domain,Series,CV,Seed,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,1,0.439678009799561,2.58175062791845
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,1,0.401473688384272,2.60099511289133
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,0.439455295419907,2.58178232569604
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,0.40623428742029,2.59878940335519
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,3,0.439606698785377,2.58133129103294
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,3,0.414893446525175,2.5997113856812
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,4,0.439072801131248,2.58108924508452
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,4,0.404335207042663,2.6033981373262
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,5,0.439205391817384,2.58129659744737
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,5,0.405866499395877,2.59992731859391
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,1,0.431840070523213,2.76336308338443
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,1,0.399215095289277,2.77480550739617
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,2,0.431499125653366,2.76346985006724
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,2,0.398949562285794,2.77394685143981
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,3,0.43147904007599,2.76368680660572
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,3,0.410436226563714,2.77328179050099
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,4,0.431209905863258,2.76331270296235
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,4,0.398086131331416,2.77755753233307
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV0,5,0.430622364392492,2.76349355359762
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV00,5,0.40015345548843,2.77619382571926
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,1,0.338415883838405,2.63637789215702
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,2,0.342255400957447,2.51136939022717
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,3,0.396090720039877,2.52553967520114
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,4,0.360531142518231,2.64528931886302
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV0,5,0.356883487876825,2.61467760092498
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,1,0.301402368971886,2.66179906441393
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,2,0.304945048767023,2.53546006069011
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,3,0.371834732212888,2.54748440241027
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,4,0.325130383733466,2.67250931837318
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV00,5,0.331230495789753,2.62954276980305
TNP,VI-only,DAP,TNP VI,CV0,1,0.23796857457836,2.73506657153188
TNP,VI-only,DAP,TNP VI,CV0,2,0.268343792679897,2.91246908035573
TNP,VI-only,DAP,TNP VI,CV0,3,0.202907919145833,2.51126728971153
TNP,VI-only,DAP,TNP VI,CV0,4,0.234703016594102,2.76028791210615
TNP,VI-only,DAP,TNP VI,CV0,5,0.255727289109508,2.69265100148494
TNP,VI-only,DAP,TNP VI,CV00,1,0.23137047832952,2.73569674959969
TNP,VI-only,DAP,TNP VI,CV00,2,0.256352994288452,2.91386377502798
TNP,VI-only,DAP,TNP VI,CV00,3,0.205894106610245,2.5082682550269
TNP,VI-only,DAP,TNP VI,CV00,4,0.251365906868346,2.7546545077005
TNP,VI-only,DAP,TNP VI,CV00,5,0.256522003363398,2.7030030336636
TNP,VI+genomic,DAP,TNP VI+G,CV0,1,0.362713935554063,2.70743817072687
TNP,VI+genomic,DAP,TNP VI+G,CV0,2,0.343618977713453,2.49807122591658
TNP,VI+genomic,DAP,TNP VI+G,CV0,3,0.369527178911854,2.59649181941102
TNP,VI+genomic,DAP,TNP VI+G,CV0,4,0.35595552744635,2.53893744850839
TNP,VI+genomic,DAP,TNP VI+G,CV0,5,0.330392761632059,2.61932473591816
TNP,VI+genomic,DAP,TNP VI+G,CV00,1,0.305041812135824,2.74090421495953
TNP,VI+genomic,DAP,TNP VI+G,CV00,2,0.289904914438885,2.54484211355405
TNP,VI+genomic,DAP,TNP VI+G,CV00,3,0.342738823138017,2.61548983062197
TNP,VI+genomic,DAP,TNP VI+G,CV00,4,0.313032174116227,2.56520774283489
TNP,VI+genomic,DAP,TNP VI+G,CV00,5,0.294603561553697,2.64515152101542
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV1,1,0.433883697566914,2.34957090928002
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV2,1,0.523484384154713,2.2740264399506
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV1,2,0.436316164849521,2.34836077851762
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV2,2,0.523254330088312,2.27426442991097
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV1,3,0.4447760963297,2.34751956148408
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV2,3,0.523718380251286,2.27394964859609
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV1,4,0.437041713911391,2.34913056171284
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV2,4,0.523291881944022,2.27402863079064
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV1,5,0.437399388312999,2.34727213008761
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV2,5,0.522658297662426,2.27456641594164
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV1,1,0.451411723485673,2.28591714921155
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV2,1,0.534919576258609,2.20955953986574
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV1,2,0.450486676318318,2.28465236090134
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV2,2,0.534596287530186,2.21006846963478
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV1,3,0.461999260492685,2.28384653344434
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV2,3,0.53476785942169,2.20996564531566
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV1,4,0.451796562736467,2.28763739544927
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV2,4,0.534728757487587,2.20949784593047
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV1,5,0.452436740764195,2.28455776680843
BGLR,M10.G.P.W-Int,AGDD,M10 AGDD,CV2,5,0.534051772681546,2.20965111224576
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV1,1,0.509551582417962,1.74379676934247
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV1,2,0.513302734926629,1.73647297941956
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV1,3,0.516721996879482,1.72655099181704
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV1,4,0.513255760869635,1.74817088744246
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV1,5,0.506897321522313,1.73171256339236
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV2,1,0.590242693974054,1.65495686590658
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV2,2,0.593209790406695,1.64137426097483
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV2,3,0.608815682611138,1.62336149980895
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV2,4,0.624414957761472,1.60218438714619
TNP,VI+genomic+weather,DAP,TNP VI+G+W,CV2,5,0.570996453956841,1.67217449257943
TNP,VI-only,DAP,TNP VI,CV1,1,0.498459663840922,1.74275527329504
TNP,VI-only,DAP,TNP VI,CV1,2,0.496708596178696,1.75113037872708
TNP,VI-only,DAP,TNP VI,CV1,3,0.503930784605281,1.73895274794992
TNP,VI-only,DAP,TNP VI,CV1,4,0.481391453547234,1.7474294151607
TNP,VI-only,DAP,TNP VI,CV1,5,0.473928511808427,1.76251143265833
TNP,VI-only,DAP,TNP VI,CV2,1,0.55287837164233,1.67840481633555
TNP,VI-only,DAP,TNP VI,CV2,2,0.56565932752221,1.67804158564488
TNP,VI-only,DAP,TNP VI,CV2,3,0.560891767253031,1.67619795984677
TNP,VI-only,DAP,TNP VI,CV2,4,0.545697298304857,1.68586362435902
TNP,VI-only,DAP,TNP VI,CV2,5,0.517952143799636,1.72022722367331
TNP,VI+genomic,DAP,TNP VI+G,CV1,1,0.519367963315116,1.72958851274726
TNP,VI+genomic,DAP,TNP VI+G,CV1,2,0.500837204599387,1.75552172536597
TNP,VI+genomic,DAP,TNP VI+G,CV1,3,0.510810754616059,1.73367598999203
TNP,VI+genomic,DAP,TNP VI+G,CV1,4,0.503289933752586,1.73611357730102
