"Model","Time_Domain","Correlation"
"M1.G","Genetic-only",0.312827884248131
"M1.P","DAP",0.301890920937593
"M1.P","AGDD",0.30541183667513
"M2.G","Genetic-only",0.320987469912935
"M3.G-Int","Genetic-only",0.34066905173389
"M3.P-Int","DAP",0.301260311632996
"M3.P-Int","AGDD",0.308096423542064
"M4.G.W","DAP",0.339337912236485
"M4.G.W","AGDD",0.337685606162859
"M4.P.W","DAP",0.301828235453792
"M4.P.W","AGDD",0.30516105580212
"M5.G.W-Int","DAP",0.358120776861305
"M5.G.W-Int","AGDD",0.345151540405284
"M5.P.W-Int","DAP",0.303022955947046
"M5.P.W-Int","AGDD",0.332221136585982
"M6.G.P","DAP",0.421653661152441
"M6.G.P","AGDD",0.414985267220432
"M7.G.P","DAP",0.426049447309205
"M7.G.P","AGDD",0.418717702000354
"M8.G.P-Int","DAP",0.42034456030591
"M8.G.P-Int","AGDD",0.416725592162295
"M9.G.P.W","DAP",0.437283499393798
"M9.G.P.W","AGDD",0.423715938782329
"M10.G.P.W-Int","DAP",0.448543285669414
"M10.G.P.W-Int","AGDD",0.43946751176876
