FPC_ID,Cor,Domain,Environments,Yield_Records
FPC2_T2M_MIN,-0.637662111202421,DAP,19,10109
FPC1_SPV,-0.609821455141159,DAP,19,10109
FPC1_Soil Temperature [C],-0.594430479909169,DAP,19,10109
FPC1_GDD,-0.593450482286235,DAP,19,10109
FPC2_FRUE,-0.59205835999119,DAP,19,10109
FPC1_Temperature [C],-0.587132172581681,DAP,19,10109
FPC1_T2M_MAX,-0.567132009350131,DAP,19,10109
FPC1_FRUE,-0.564820806194101,DAP,19,10109
FPC2_T2MDEW,-0.559298232369215,DAP,19,10109
FPC1_ALLSKY_SFC_LW_DWN,-0.555822085430502,DAP,19,10109
FPC2_TH2,-0.553956027161064,DAP,19,10109
FPC3_TH1,-0.547524996099029,DAP,19,10109
FPC2_QV2M,-0.546915164370255,DAP,19,10109
FPC2_GDD,-0.543067801175207,DAP,19,10109
FPC2_T2M_MAX,-0.529933659944484,DAP,19,10109
FPC1_PTT,-0.528767459031969,DAP,19,10109
FPC1_T2M_MIN,-0.528506696453653,DAP,19,10109
FPC2_SPV,-0.524385728177973,DAP,19,10109
FPC1_T2M,-0.522353741596723,DAP,19,10109
FPC3_GWETROOT,-0.51578998559772,DAP,19,10109
FPC3_Temperature [C],-0.512963807499539,DAP,19,10109
FPC2_T2M,-0.512842103069309,DAP,19,10109
FPC1_TH1,-0.51175222686048,DAP,19,10109
FPC3_Soil Temperature [C],-0.503195436830561,DAP,19,10109
FPC1_TH2,-0.492859172301136,DAP,19,10109
FPC3_T2M,-0.484020102173137,DAP,19,10109
FPC3_TH2,-0.481006333948379,DAP,19,10109
FPC2_ALLSKY_SFC_UVB,-0.474940147532051,DAP,19,10109
FPC4_T2MDEW,-0.473679352910272,DAP,19,10109
FPC2_TH1,-0.469408233863814,DAP,19,10109
FPC2_ALLSKY_SFC_LW_DWN,-0.468744326419786,DAP,19,10109
FPC1_QV2M,-0.464860247636803,DAP,19,10109
FPC3_N,-0.452078127507754,DAP,19,10109
FPC1_ALLSKY_SFC_UVB,-0.439788363996144,DAP,19,10109
FPC1_RTA,-0.439549613727636,DAP,19,10109
FPC1_RTA.1,-0.439539647063057,DAP,19,10109
