"symbol","primaryIdentifier","description"
"AT1G16800","Zm00021ab322740","p-loop containing nucleoside triphosphate hydrolase superfamily protein"
"BADH","Zm00030ab316390, Zm00022ab322390","Betaine aldehyde dehydrogenase (Fragment)"
"BKI1","Zm00038ab322700","BRI1 kinase inhibitor 1"
"CSLE6","Zm00019ab304320","Cellulose synthase-like protein E6"
"CXE2","Zm00020ab319840, Zm00022ab321080, Zm00023ab324900, Zm00029ab330440, Zm00024ab321920, Zm00032ab329770, Zm00030ab317160, Zm00001eb315150","Tuliposide A-converting enzyme 2, Tuliposide A-converting enzyme b1"
"DMC1","Zm00026ab320240","Disrupted meiotic cDNA 1 protein (Fragment)"
"MED20","Zm00042ab329410, Zm00030ab316230, Zm00032ab328970, Zm00001eb314270","Mediator of RNA polymerase II transcription subunit 20"
"OS09G0475500","Zm00041ab329050","O-fucosyltransferase family protein"
"RPL2","Zm00027ab323100","Ribosomal protein L2"
"SPL16","Zm00020ab322440","SBP-box family member protein (Fragment)"
