"Domain","Vegetation.Index","FPC","FPC_ID","N","N_complete","Cor","Status"
"DAP","BCC","FPC1","FPC1_BCC",10109,10109,-0.349098233417365,"ok"
"DAP","BCC","FPC2","FPC2_BCC",10109,10109,-0.0417383451839972,"ok"
"DAP","BCC","FPC3","FPC3_BCC",10109,10109,-0.284791683090799,"ok"
"DAP","BCC","FPC4","FPC4_BCC",10109,10109,0.305003297968347,"ok"
"DAP","BCC","FPC5","FPC5_BCC",10109,10109,-0.329290949852467,"ok"
"DAP","BGI","FPC1","FPC1_BGI",10109,10109,-0.33597290467574,"ok"
"DAP","BGI","FPC2","FPC2_BGI",10109,10109,-0.0318508076379228,"ok"
"DAP","BGI","FPC3","FPC3_BGI",10109,10109,-0.220667227562844,"ok"
"DAP","BGI","FPC4","FPC4_BGI",10109,10109,-0.151722278968588,"ok"
"DAP","BGI","FPC5","FPC5_BGI",10109,10109,-0.178375464774036,"ok"
"DAP","BGI_new","FPC1","FPC1_BGI_new",10109,10109,-0.335972832043799,"ok"
"DAP","BGI_new","FPC2","FPC2_BGI_new",10109,10109,-0.0318507869672486,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new",10109,10109,-0.220667245228013,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new",10109,10109,-0.151722225327241,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new",10109,10109,-0.178375485116254,"ok"
"DAP","BI","FPC1","FPC1_BI",10109,10109,-0.500388261557229,"ok"
"DAP","BI","FPC2","FPC2_BI",10109,10109,-0.159067393173249,"ok"
"DAP","BI","FPC3","FPC3_BI",10109,10109,0.107742501095766,"ok"
"DAP","BI","FPC4","FPC4_BI",10109,10109,-0.0745275514630201,"ok"
"DAP","BI","FPC5","FPC5_BI",10109,10109,-0.245421544645277,"ok"
"DAP","BI_new","FPC1","FPC1_BI_new",10109,10109,-0.550732642037086,"ok"
"DAP","BI_new","FPC2","FPC2_BI_new",10109,10109,-0.46868926938375,"ok"
"DAP","BI_new","FPC3","FPC3_BI_new",10109,10109,0.036311046922604,"ok"
"DAP","BI_new","FPC4","FPC4_BI_new",10109,10109,-0.213165510583755,"ok"
"DAP","BI_new","FPC5","FPC5_BI_new",10109,10109,-0.341682937007044,"ok"
"DAP","CIVE","FPC1","FPC1_CIVE",10109,10109,0.427707907772217,"ok"
"DAP","CIVE","FPC2","FPC2_CIVE",10109,10109,0.314604907903099,"ok"
"DAP","CIVE","FPC3","FPC3_CIVE",10109,10109,0.264591166470547,"ok"
"DAP","CIVE","FPC4","FPC4_CIVE",10109,10109,0.333052782367381,"ok"
"DAP","CIVE","FPC5","FPC5_CIVE",10109,10109,-0.186541496298766,"ok"
"DAP","COM1","FPC1","FPC1_COM1",10109,10109,0.360808994755493,"ok"
"DAP","COM1","FPC2","FPC2_COM1",10109,10109,0.354095788636778,"ok"
"DAP","COM1","FPC3","FPC3_COM1",10109,10109,0.271008116879239,"ok"
"DAP","COM1","FPC4","FPC4_COM1",10109,10109,-0.0827712526835635,"ok"
"DAP","COM1","FPC5","FPC5_COM1",10109,10109,-0.0136742702498146,"ok"
"DAP","COM2","FPC1","FPC1_COM2",10109,10109,0.345528381746164,"ok"
"DAP","COM2","FPC2","FPC2_COM2",10109,10109,0.539010841667977,"ok"
"DAP","COM2","FPC3","FPC3_COM2",10109,10109,0.175356060012219,"ok"
"DAP","COM2","FPC4","FPC4_COM2",10109,10109,0.200165026165143,"ok"
"DAP","COM2","FPC5","FPC5_COM2",10109,10109,0.210242464107392,"ok"
"DAP","EXR","FPC1","FPC1_EXR",10109,10109,-0.536297655647996,"ok"
"DAP","EXR","FPC2","FPC2_EXR",10109,10109,-0.494261960609798,"ok"
"DAP","EXR","FPC3","FPC3_EXR",10109,10109,-0.0253670355865697,"ok"
"DAP","EXR","FPC4","FPC4_EXR",10109,10109,-0.16746376413294,"ok"
"DAP","EXR","FPC5","FPC5_EXR",10109,10109,-0.202858095975875,"ok"
"DAP","ExG","FPC1","FPC1_ExG",10109,10109,-0.455434067872931,"ok"
"DAP","ExG","FPC2","FPC2_ExG",10109,10109,-0.335155173062884,"ok"
"DAP","ExG","FPC3","FPC3_ExG",10109,10109,0.147272621504407,"ok"
"DAP","ExG","FPC4","FPC4_ExG",10109,10109,-0.376656809397163,"ok"
"DAP","ExG","FPC5","FPC5_ExG",10109,10109,0.19489753333126,"ok"
"DAP","ExG2","FPC1","FPC1_ExG2",10109,10109,0.552684179362221,"ok"
"DAP","ExG2","FPC2","FPC2_ExG2",10109,10109,0.482990315607015,"ok"
"DAP","ExG2","FPC3","FPC3_ExG2",10109,10109,0.155018809033396,"ok"
"DAP","ExG2","FPC4","FPC4_ExG2",10109,10109,-0.00594459445633815,"ok"
"DAP","ExG2","FPC5","FPC5_ExG2",10109,10109,0.0533267462728647,"ok"
"DAP","ExGR","FPC1","FPC1_ExGR",10109,10109,0.34117422941735,"ok"
"DAP","ExGR","FPC2","FPC2_ExGR",10109,10109,0.174944786346989,"ok"
"DAP","ExGR","FPC3","FPC3_ExGR",10109,10109,0.080218324568148,"ok"
"DAP","ExGR","FPC4","FPC4_ExGR",10109,10109,-0.157398836114123,"ok"
"DAP","ExGR","FPC5","FPC5_ExGR",10109,10109,0.155022274149619,"ok"
"DAP","GCC","FPC1","FPC1_GCC",10109,10109,0.552684105098647,"ok"
"DAP","GCC","FPC2","FPC2_GCC",10109,10109,0.482990386189512,"ok"
"DAP","GCC","FPC3","FPC3_GCC",10109,10109,0.155018799980685,"ok"
"DAP","GCC","FPC4","FPC4_GCC",10109,10109,-0.00594455948562748,"ok"
"DAP","GCC","FPC5","FPC5_GCC",10109,10109,0.0533268280295374,"ok"
"DAP","GLI","FPC1","FPC1_GLI",10109,10109,0.551804790255992,"ok"
"DAP","GLI","FPC2","FPC2_GLI",10109,10109,0.465074172856218,"ok"
"DAP","GLI","FPC3","FPC3_GLI",10109,10109,0.118080117402998,"ok"
"DAP","GLI","FPC4","FPC4_GLI",10109,10109,-0.0164980853662836,"ok"
"DAP","GLI","FPC5","FPC5_GLI",10109,10109,0.0231076810553308,"ok"
"DAP","GLI_new","FPC1","FPC1_GLI_new",10109,10109,0.551804801163426,"ok"
"DAP","GLI_new","FPC2","FPC2_GLI_new",10109,10109,0.46507416567867,"ok"
"DAP","GLI_new","FPC3","FPC3_GLI_new",10109,10109,0.118080063279158,"ok"
"DAP","GLI_new","FPC4","FPC4_GLI_new",10109,10109,-0.0164980878361171,"ok"
"DAP","GLI_new","FPC5","FPC5_GLI_new",10109,10109,0.023107733809574,"ok"
"DAP","GdivB","FPC1","FPC1_GdivB",10109,10109,0.331902874084439,"ok"
"DAP","GdivB","FPC2","FPC2_GdivB",10109,10109,0.177540081569909,"ok"
"DAP","GdivB","FPC3","FPC3_GdivB",10109,10109,0.216890066321864,"ok"
"DAP","GdivB","FPC4","FPC4_GdivB",10109,10109,0.318647546664088,"ok"
"DAP","GdivB","FPC5","FPC5_GdivB",10109,10109,-0.135729725417407,"ok"
"DAP","GdivR","FPC1","FPC1_GdivR",10109,10109,0.555447894495696,"ok"
"DAP","GdivR","FPC2","FPC2_GdivR",10109,10109,-0.235770671062481,"ok"
"DAP","GdivR","FPC3","FPC3_GdivR",10109,10109,-0.463663590422977,"ok"
"DAP","GdivR","FPC4","FPC4_GdivR",10109,10109,0.032114522591093,"ok"
"DAP","GdivR","FPC5","FPC5_GdivR",10109,10109,0.265703713693874,"ok"
"DAP","GminusB","FPC1","FPC1_GminusB",10109,10109,-0.444071609459445,"ok"
"DAP","GminusB","FPC2","FPC2_GminusB",10109,10109,-0.322272515113838,"ok"
"DAP","GminusB","FPC3","FPC3_GminusB",10109,10109,-0.225349363217661,"ok"
"DAP","GminusB","FPC4","FPC4_GminusB",10109,10109,0.113722771354034,"ok"
"DAP","GminusB","FPC5","FPC5_GminusB",10109,10109,0.266830835248644,"ok"
"DAP","GminusR","FPC1","FPC1_GminusR",10109,10109,-0.192576533262205,"ok"
