"Domain","Vegetation.Index","FPC","FPC_ID","Env","N","N_complete","Cor","Status"
"DAP","BCC","FPC1","FPC1_BCC","DEH1.2020",1142,1142,-0.304625850715137,"ok"
"DAP","BCC","FPC1","FPC1_BCC","IAH4.2021",1128,1128,0.00987963352743908,"ok"
"DAP","BCC","FPC1","FPC1_BCC","MIH1.2020",414,414,-0.181137283739793,"ok"
"DAP","BCC","FPC1","FPC1_BCC","MNH1.2020",395,395,0.264221670418212,"ok"
"DAP","BCC","FPC1","FPC1_BCC","MNH1.2021",415,415,0.106990241946218,"ok"
"DAP","BCC","FPC1","FPC1_BCC","MOH1.2020",1006,1006,0.280919948205711,"ok"
"DAP","BCC","FPC1","FPC1_BCC","NEH1.2021",246,246,0.0756715515392844,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH1.2020",246,246,-0.0509685189296105,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH1.2021",246,246,-0.196590191745463,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH2.2020",246,246,-0.177166534014359,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH2.2021",246,246,0.272528546213794,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH3.2020",266,266,-0.184064726803969,"ok"
"DAP","BCC","FPC1","FPC1_BCC","TXH3.2021",245,245,-0.409637482615939,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH1.2020",394,394,0.0376419082930325,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH1.2021",398,398,0.0601538322847024,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH2.2020",1127,1127,0.0109040569962585,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH2.2021",1137,1137,0.0324638731507246,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH3.2020",415,415,0.0388793362931991,"ok"
"DAP","BCC","FPC1","FPC1_BCC","WIH3.2021",397,397,0.0695016461472735,"ok"
"DAP","BCC","FPC2","FPC2_BCC","DEH1.2020",1142,1142,0.108615656396564,"ok"
"DAP","BCC","FPC2","FPC2_BCC","IAH4.2021",1128,1128,0.182419470725652,"ok"
"DAP","BCC","FPC2","FPC2_BCC","MIH1.2020",414,414,-0.271071770038332,"ok"
"DAP","BCC","FPC2","FPC2_BCC","MNH1.2020",395,395,-0.302673891051625,"ok"
"DAP","BCC","FPC2","FPC2_BCC","MNH1.2021",415,415,-0.14067168224705,"ok"
"DAP","BCC","FPC2","FPC2_BCC","MOH1.2020",1006,1006,-0.0638897942977928,"ok"
"DAP","BCC","FPC2","FPC2_BCC","NEH1.2021",246,246,0.0909946774568019,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH1.2020",246,246,0.0581517104229395,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH1.2021",246,246,0.128928593524593,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH2.2020",246,246,0.0129125506109984,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH2.2021",246,246,0.252461673796262,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH3.2020",266,266,-0.139282871978763,"ok"
"DAP","BCC","FPC2","FPC2_BCC","TXH3.2021",245,245,0.171741384094427,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH1.2020",394,394,-0.0672647363652541,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH1.2021",398,398,-0.25499327228575,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH2.2020",1127,1127,-0.0164322797441795,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH2.2021",1137,1137,0.0487197514274181,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH3.2020",415,415,0.102428681268278,"ok"
"DAP","BCC","FPC2","FPC2_BCC","WIH3.2021",397,397,-0.0107032417246011,"ok"
"DAP","BCC","FPC3","FPC3_BCC","DEH1.2020",1142,1142,-0.120932726744315,"ok"
"DAP","BCC","FPC3","FPC3_BCC","IAH4.2021",1128,1128,0.0697036176441481,"ok"
