Seed_Num,Female,Fold
1,B14A,2
1,B37,4
1,B73,3
1,CG119,4
1,CG44,5
1,F42,1
1,LH74,1
1,PHG39,5
1,PHW52,5
1,TX714,2
1,W10004_0007,2
1,W10004_0011,1
1,W10004_0014,3
1,W10004_0018,5
1,W10004_0026,2
1,W10004_0032,1
1,W10004_0037,2
1,W10004_0038,2
1,W10004_0041,1
1,W10004_0045,3
1,W10004_0046,3
1,W10004_0047,4
1,W10004_0053,1
1,W10004_0055,5
1,W10004_0061,3
1,W10004_0062,2
1,W10004_0064,4
1,W10004_0065,1
1,W10004_0068,2
1,W10004_0069,4
1,W10004_0071,2
1,W10004_0072,5
1,W10004_0073,1
1,W10004_0076,4
1,W10004_0080,3
1,W10004_0092,4
1,W10004_0093,4
1,W10004_0095,1
1,W10004_0097,1
1,W10004_0099,3
1,W10004_0103,2
1,W10004_0112,5
1,W10004_0118,5
1,W10004_0119,1
1,W10004_0127,5
1,W10004_0129,1
1,W10004_0132,3
1,W10004_0134,3
1,W10004_0138,1
1,W10004_0140,5
1,W10004_0146,3
1,W10004_0147,1
1,W10004_0148,4
1,W10004_0152,5
1,W10004_0153,3
1,W10004_0160,1
1,W10004_0166,4
1,W10004_0168,1
1,W10004_0185,3
1,W10004_0190,3
1,W10004_0192,5
1,W10004_0197,5
1,W10004_0199,4
1,W10004_0200,3
1,W10004_0203,2
1,W10004_0204,1
1,W10004_0206,4
1,W10004_0212,5
1,W10004_0213,1
1,W10004_0217,5
1,W10004_0220,5
1,W10004_0221,4
1,W10004_0223,1
1,W10004_0224,4
1,W10004_0225,3
1,W10004_0227,2
1,W10004_0231,5
1,W10004_0241,4
1,W10004_0254,1
1,W10004_0258,3
1,W10004_0261,5
1,W10004_0262,5
1,W10004_0264,2
1,W10004_0268,3
1,W10004_0276,2
1,W10004_0292,5
1,W10004_0299,3
1,W10004_0306,2
1,W10004_0308,4
1,W10004_0344,2
1,W10004_0380,5
1,W10004_0381,5
1,W10004_0383,5
1,W10004_0389,5
1,W10004_0403,1
1,W10004_0409,1
1,W10004_0410,2
1,W10004_0419,4
1,W10004_0427,4
1,W10004_0430,4
1,W10004_0465,4
1,W10004_0474,3
1,W10004_0487,2
1,W10004_0498,4
1,W10004_0501,3
1,W10004_0505,2
1,W10004_0601,3
1,W10004_0608,2
1,W10004_0612,4
1,W10004_0614,3
1,W10004_0616,4
1,W10004_0618,4
1,W10004_0619,1
1,W10004_0624,4
1,W10004_0625,1
1,W10004_0626,5
1,W10004_0628,2
1,W10004_0637,5
1,W10004_0639,5
1,W10004_0644,1
1,W10004_0645,5
1,W10004_0646,2
1,W10004_0649,2
1,W10004_0651,2
1,W10004_0654,3
1,W10004_0658,2
1,W10004_0661,3
1,W10004_0667,5
1,W10004_0672,2
1,W10004_0678,4
1,W10004_0682,2
1,W10004_0684,3
1,W10004_0685,2
1,W10004_0687,5
1,W10004_0688,5
1,W10004_0689,4
1,W10004_0696,3
1,W10004_0697,4
1,W10004_0701,1
1,W10004_0702,3
1,W10004_0705,1
1,W10004_0712,3
1,W10004_0713,2
1,W10004_0714,3
1,W10004_0729,2
1,W10004_0736,2
1,W10004_0741,1
1,W10004_0745,1
1,W10004_0746,3
1,W10004_0756,4
1,W10004_0757,5
1,W10004_0768,3
1,W10004_0774,5
1,W10004_0775,5
1,W10004_0779,5
1,W10004_0781,1
1,W10004_0782,3
1,W10004_0789,2
1,W10004_0794,1
1,W10004_0798,3
1,W10004_0799,2
1,W10004_0801,3
1,W10004_0802,2
1,W10004_0803,1
1,W10004_0806,2
1,W10004_0807,3
1,W10004_0812,5
1,W10004_0814,2
1,W10004_0815,4
1,W10004_0818,1
1,W10004_0823,4
1,W10004_0827,1
1,W10004_0828,5
1,W10004_0832,4
1,W10004_0833,4
1,W10004_0834,3
1,W10004_0836,1
1,W10004_0842,5
1,W10004_0848,2
1,W10004_0859,5
1,W10004_0866,5
1,W10004_0868,1
1,W10004_0869,1
1,W10004_0877,1
1,W10004_0884,4
1,W10004_0885,1
1,W10004_0891,1
1,W10004_0900,2
1,W10004_0907,5
1,W10004_0913,2
1,W10004_0916,4
1,W10004_0928,2
1,W10004_0932,3
1,W10004_0940,3
1,W10004_0949,4
1,W10004_0955,4
1,W10004_0956,4
1,W10004_0965,2
1,W10004_0966,5
1,W10004_0974,1
1,W10004_0975,1
1,W10004_0981,4
1,W10004_0982,4
1,W10004_0984,5
1,W10004_1000,3
1,W10004_1002,1
1,W10004_1004,4
1,W10004_1011,3
1,W10004_1015,3
1,W10004_1032,2
1,W10004_1045,3
1,W10004_1052,3
1,W10004_1057,4
1,W10004_1072,1
1,W10004_1081,4
1,W10004_1084,3
1,W10004_1099,1
1,W10004_1104,2
1,W10004_1105,4
1,W10004_1112,2
1,W10004_1117,3
1,W10004_1118,2
1,W10004_1140,4
2,B14A,2
2,B37,5
2,B73,5
2,CG119,1
2,CG44,4
2,F42,4
2,LH74,1
2,PHG39,3
2,PHW52,5
2,TX714,5
2,W10004_0007,3
2,W10004_0011,1
2,W10004_0014,4
2,W10004_0018,2
2,W10004_0026,5
2,W10004_0032,3
2,W10004_0037,2
2,W10004_0038,3
2,W10004_0041,2
2,W10004_0045,2
2,W10004_0046,5
2,W10004_0047,1
2,W10004_0053,2
2,W10004_0055,3
2,W10004_0061,3
2,W10004_0062,4
2,W10004_0064,1
2,W10004_0065,5
2,W10004_0068,3
2,W10004_0069,4
2,W10004_0071,4
2,W10004_0072,1
2,W10004_0073,3
2,W10004_0076,2
2,W10004_0080,1
2,W10004_0092,3
2,W10004_0093,4
2,W10004_0095,5
2,W10004_0097,5
2,W10004_0099,3
2,W10004_0103,3
2,W10004_0112,5
2,W10004_0118,1
2,W10004_0119,3
2,W10004_0127,2
2,W10004_0129,5
2,W10004_0132,5
2,W10004_0134,5
2,W10004_0138,1
2,W10004_0140,1
2,W10004_0146,4
2,W10004_0147,5
2,W10004_0148,1
2,W10004_0152,4
2,W10004_0153,3
2,W10004_0160,2
2,W10004_0166,3
2,W10004_0168,1
2,W10004_0185,1
2,W10004_0190,4
2,W10004_0192,5
2,W10004_0197,3
2,W10004_0199,5
2,W10004_0200,2
2,W10004_0203,1
2,W10004_0204,1
2,W10004_0206,2
2,W10004_0212,4
2,W10004_0213,3
2,W10004_0217,2
2,W10004_0220,3
2,W10004_0221,3
2,W10004_0223,3
2,W10004_0224,4
2,W10004_0225,2
2,W10004_0227,3
2,W10004_0231,4
2,W10004_0241,1
2,W10004_0254,5
2,W10004_0258,2
2,W10004_0261,3
2,W10004_0262,1
2,W10004_0264,2
2,W10004_0268,2
2,W10004_0276,4
2,W10004_0292,2
2,W10004_0299,4
2,W10004_0306,1
2,W10004_0308,1
2,W10004_0344,1
2,W10004_0380,2
2,W10004_0381,4
2,W10004_0383,3
2,W10004_0389,5
2,W10004_0403,5
2,W10004_0409,4
2,W10004_0410,1
2,W10004_0419,5
2,W10004_0427,2
2,W10004_0430,1
2,W10004_0465,3
2,W10004_0474,4
2,W10004_0487,4
2,W10004_0498,1
2,W10004_0501,1
2,W10004_0505,1
2,W10004_0601,3
2,W10004_0608,4
2,W10004_0612,3
2,W10004_0614,1
2,W10004_0616,5
2,W10004_0618,1
2,W10004_0619,1
2,W10004_0624,5
2,W10004_0625,2
2,W10004_0626,5
2,W10004_0628,5
2,W10004_0637,5
2,W10004_0639,5
2,W10004_0644,4
2,W10004_0645,2
2,W10004_0646,2
2,W10004_0649,2
2,W10004_0651,3
2,W10004_0654,2
2,W10004_0658,5
2,W10004_0661,2
2,W10004_0667,2
2,W10004_0672,4
2,W10004_0678,4
2,W10004_0682,2
2,W10004_0684,1
2,W10004_0685,4
2,W10004_0687,4
2,W10004_0688,4
2,W10004_0689,5
2,W10004_0696,3
2,W10004_0697,3
2,W10004_0701,1
2,W10004_0702,1
2,W10004_0705,2
2,W10004_0712,2
2,W10004_0713,5
2,W10004_0714,4
2,W10004_0729,1
2,W10004_0736,5
2,W10004_0741,1
2,W10004_0745,4
2,W10004_0746,1
2,W10004_0756,2
2,W10004_0757,1
2,W10004_0768,5
2,W10004_0774,5
2,W10004_0775,2
2,W10004_0779,2
2,W10004_0781,4
2,W10004_0782,3
2,W10004_0789,2
2,W10004_0794,4
2,W10004_0798,3
2,W10004_0799,1
2,W10004_0801,2
2,W10004_0802,3
2,W10004_0803,5
2,W10004_0806,2
2,W10004_0807,2
2,W10004_0812,1
2,W10004_0814,1
2,W10004_0815,5
2,W10004_0818,4
2,W10004_0823,5
2,W10004_0827,3
2,W10004_0828,1
2,W10004_0832,5
2,W10004_0833,4
2,W10004_0834,4
2,W10004_0836,2
2,W10004_0842,3
2,W10004_0848,3
2,W10004_0859,3
2,W10004_0866,5
2,W10004_0868,5
2,W10004_0869,4
2,W10004_0877,1
2,W10004_0884,2
2,W10004_0885,1
2,W10004_0891,2
2,W10004_0900,2
2,W10004_0907,5
2,W10004_0913,4
2,W10004_0916,2
2,W10004_0928,3
2,W10004_0932,1
2,W10004_0940,1
2,W10004_0949,3
2,W10004_0955,4
2,W10004_0956,5
2,W10004_0965,1
2,W10004_0966,5
2,W10004_0974,2
2,W10004_0975,1
2,W10004_0981,3
2,W10004_0982,4
2,W10004_0984,3
2,W10004_1000,4
2,W10004_1002,3
2,W10004_1004,4
2,W10004_1011,3
2,W10004_1015,5
2,W10004_1032,4
2,W10004_1045,2
2,W10004_1052,2
2,W10004_1057,4
2,W10004_1072,3
2,W10004_1081,3
2,W10004_1084,4
2,W10004_1099,4
2,W10004_1104,4
2,W10004_1105,3
2,W10004_1112,4
2,W10004_1117,3
2,W10004_1118,2
2,W10004_1140,5
3,B14A,1
3,B37,5
3,B73,4
3,CG119,1
3,CG44,5
3,F42,3
3,LH74,4
3,PHG39,1
3,PHW52,2
3,TX714,5
3,W10004_0007,4
3,W10004_0011,2
3,W10004_0014,3
3,W10004_0018,5
3,W10004_0026,1
3,W10004_0032,5
3,W10004_0037,4
3,W10004_0038,3
3,W10004_0041,5
3,W10004_0045,4
3,W10004_0046,4
3,W10004_0047,5
3,W10004_0053,3
3,W10004_0055,3
3,W10004_0061,1
3,W10004_0062,4
3,W10004_0064,4
3,W10004_0065,1
3,W10004_0068,1
3,W10004_0069,1
3,W10004_0071,5
3,W10004_0072,4
3,W10004_0073,2
3,W10004_0076,5
3,W10004_0080,1
3,W10004_0092,5
3,W10004_0093,2
3,W10004_0095,1
3,W10004_0097,2
3,W10004_0099,3
3,W10004_0103,2
3,W10004_0112,3
3,W10004_0118,3
3,W10004_0119,5
3,W10004_0127,4
3,W10004_0129,2
3,W10004_0132,1
3,W10004_0134,1
3,W10004_0138,4
3,W10004_0140,3
3,W10004_0146,4
3,W10004_0147,3
3,W10004_0148,2
3,W10004_0152,1
3,W10004_0153,3
3,W10004_0160,3
3,W10004_0166,2
3,W10004_0168,3
3,W10004_0185,5
3,W10004_0190,2
3,W10004_0192,2
3,W10004_0197,3
3,W10004_0199,2
3,W10004_0200,4
3,W10004_0203,1
3,W10004_0204,3
3,W10004_0206,3
3,W10004_0212,2
3,W10004_0213,2
3,W10004_0217,1
3,W10004_0220,3
3,W10004_0221,2
3,W10004_0223,4
3,W10004_0224,2
3,W10004_0225,5
3,W10004_0227,2
3,W10004_0231,4
3,W10004_0241,4
3,W10004_0254,5
3,W10004_0258,1
3,W10004_0261,2
3,W10004_0262,1
3,W10004_0264,4
3,W10004_0268,1
3,W10004_0276,4
3,W10004_0292,3
3,W10004_0299,4
3,W10004_0306,4
3,W10004_0308,3
3,W10004_0344,5
3,W10004_0380,5
3,W10004_0381,4
3,W10004_0383,2
3,W10004_0389,2
3,W10004_0403,1
3,W10004_0409,4
3,W10004_0410,3
3,W10004_0419,3
3,W10004_0427,4
3,W10004_0430,1
3,W10004_0465,5
3,W10004_0474,2
3,W10004_0487,5
3,W10004_0498,4
3,W10004_0501,2
3,W10004_0505,4
3,W10004_0601,3
3,W10004_0608,1
3,W10004_0612,1
3,W10004_0614,3
3,W10004_0616,3
3,W10004_0618,4
3,W10004_0619,5
3,W10004_0624,2
3,W10004_0625,3
3,W10004_0626,3
3,W10004_0628,4
3,W10004_0637,2
3,W10004_0639,1
3,W10004_0644,3
3,W10004_0645,1
3,W10004_0646,5
3,W10004_0649,3
3,W10004_0651,4
3,W10004_0654,1
3,W10004_0658,4
3,W10004_0661,4
3,W10004_0667,1
3,W10004_0672,5
3,W10004_0678,4
3,W10004_0682,2
3,W10004_0684,2
3,W10004_0685,2
3,W10004_0687,3
3,W10004_0688,1
3,W10004_0689,5
3,W10004_0696,4
3,W10004_0697,1
3,W10004_0701,2
3,W10004_0702,2
3,W10004_0705,4
3,W10004_0712,3
3,W10004_0713,1
3,W10004_0714,3
3,W10004_0729,4
3,W10004_0736,3
3,W10004_0741,1
3,W10004_0745,1
3,W10004_0746,5
3,W10004_0756,2
3,W10004_0757,4
3,W10004_0768,4
3,W10004_0774,2
3,W10004_0775,2
3,W10004_0779,1
3,W10004_0781,5
3,W10004_0782,2
3,W10004_0789,5
3,W10004_0794,5
3,W10004_0798,2
3,W10004_0799,5
3,W10004_0801,1
3,W10004_0802,5
3,W10004_0803,5
3,W10004_0806,2
3,W10004_0807,1
3,W10004_0812,5
3,W10004_0814,1
3,W10004_0815,4
3,W10004_0818,5
3,W10004_0823,5
3,W10004_0827,5
3,W10004_0828,4
3,W10004_0832,3
3,W10004_0833,1
3,W10004_0834,4
3,W10004_0836,1
3,W10004_0842,3
3,W10004_0848,5
3,W10004_0859,3
3,W10004_0866,3
3,W10004_0868,2
3,W10004_0869,2
3,W10004_0877,2
3,W10004_0884,2
3,W10004_0885,3
3,W10004_0891,2
3,W10004_0900,3
3,W10004_0907,1
3,W10004_0913,5
3,W10004_0916,3
3,W10004_0928,3
3,W10004_0932,1
3,W10004_0940,1
3,W10004_0949,4
3,W10004_0955,2
3,W10004_0956,5
3,W10004_0965,3
3,W10004_0966,1
3,W10004_0974,4
3,W10004_0975,5
3,W10004_0981,5
3,W10004_0982,4
3,W10004_0984,5
3,W10004_1000,3
3,W10004_1002,4
3,W10004_1004,3
3,W10004_1011,1
3,W10004_1015,3
3,W10004_1032,1
3,W10004_1045,4
3,W10004_1052,5
3,W10004_1057,2
3,W10004_1072,2
3,W10004_1081,4
3,W10004_1084,5
3,W10004_1099,5
3,W10004_1104,1
3,W10004_1105,1
3,W10004_1112,3
3,W10004_1117,2
3,W10004_1118,5
3,W10004_1140,2
4,B14A,2
4,B37,2
4,B73,1
4,CG119,2
4,CG44,4
4,F42,3
4,LH74,5
4,PHG39,5
4,PHW52,2
4,TX714,4
4,W10004_0007,2
4,W10004_0011,3
4,W10004_0014,3
4,W10004_0018,4
4,W10004_0026,3
4,W10004_0032,2
4,W10004_0037,1
4,W10004_0038,4
4,W10004_0041,3
4,W10004_0045,2
4,W10004_0046,4
4,W10004_0047,3
4,W10004_0053,3
4,W10004_0055,5
4,W10004_0061,4
4,W10004_0062,2
4,W10004_0064,1
4,W10004_0065,4
4,W10004_0068,5
4,W10004_0069,4
4,W10004_0071,2
4,W10004_0072,3
4,W10004_0073,4
4,W10004_0076,2
4,W10004_0080,2
4,W10004_0092,4
4,W10004_0093,4
4,W10004_0095,4
4,W10004_0097,2
4,W10004_0099,5
4,W10004_0103,5
4,W10004_0112,3
4,W10004_0118,2
4,W10004_0119,1
4,W10004_0127,4
4,W10004_0129,2
4,W10004_0132,3
4,W10004_0134,5
4,W10004_0138,2
4,W10004_0140,4
4,W10004_0146,2
4,W10004_0147,3
4,W10004_0148,5
4,W10004_0152,4
4,W10004_0153,3
4,W10004_0160,1
4,W10004_0166,5
4,W10004_0168,1
4,W10004_0185,1
4,W10004_0190,1
