lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi,Env.Tester,marker,Env,Tester
1,DTA.BLUE,3,173840602,6.86111035810503,1213108,198566002,DEH1.2020.PHP02,1,DEH1.2020,PHP02
2,DTS.BLUE,3,23121706,8.28336421453708,7328941,221000647,DEH1.2020.PHP02,2,DEH1.2020,PHP02
4,Yield.t.ha.BLUE,4,150354026,6.14997679648542,1779869,250055869,DEH1.2020.PHP02,3,DEH1.2020,PHP02
4,Yield.t.ha.BLUE,10,15654393,7.13106829585298,4609998,151594788,DEH1.2020.PHP02,4,DEH1.2020,PHP02
2,DTS.BLUE,2,75380434,6.86933428557066,837221,235791822,DEH1.2020.PHZ51,1,DEH1.2020,PHZ51
2,DTS.BLUE,7,75151910,6.18893696394394,873096,185225465,DEH1.2020.PHZ51,2,DEH1.2020,PHZ51
3,ASI,2,171041477,7.3530338558013,15246853,242232910,DEH1.2020.PHZ51,3,DEH1.2020,PHZ51
4,Yield.t.ha.BLUE,8,106910226,6.19343051303931,443274,180707733,DEH1.2020.PHZ51,4,DEH1.2020,PHZ51
1,DTA.BLUE,3,152088156,8.88267229776597,15012056,171481984,IAH4.2021.PHK76,1,IAH4.2021,PHK76
1,DTA.BLUE,8,128376366,9.08521287427318,112066603,147704325,IAH4.2021.PHK76,2,IAH4.2021,PHK76
1,DTA.BLUE,1,96169944,6.51758074469433,39898,306563409,IAH4.2021.PHP02,1,IAH4.2021,PHP02
2,DTS.BLUE,2,223896865,6.26483041668284,837221,241072523,IAH4.2021.PHP02,2,IAH4.2021,PHP02
1,DTA.BLUE,2,182330416,7.53774184412749,11047339,223776028,IAH4.2021.PHZ51,1,IAH4.2021,PHZ51
2,DTS.BLUE,2,173297371,6.22631003080196,837221,238326817,IAH4.2021.PHZ51,2,IAH4.2021,PHZ51
3,ASI,2,177371577,6.93253350571069,2917866,223324760,IAH4.2021.PHZ51,3,IAH4.2021,PHZ51
2,DTS.BLUE,2,58266184,6.04892578041745,1591622,242232910,MIH1.2020.PHP02,1,MIH1.2020,PHP02
1,DTA.BLUE,3,176714115,8.02547786273266,111307056,181374432,MNH1.2020.PHP02,1,MNH1.2020,PHP02
2,DTS.BLUE,3,33643205,7.4178808100139,1428701,185009234,MNH1.2021.PHP02,1,MNH1.2021,PHP02
3,ASI,3,39237801,6.29543310605026,1213108,224609265,MNH1.2021.PHP02,2,MNH1.2021,PHP02
2,DTS.BLUE,3,51281608,8.30333374166622,7604554,188969338,MOH1.2020.PHK76,1,MOH1.2020,PHK76
1,DTA.BLUE,3,168484142,6.48324542379825,1213108,218317705,MOH1.2020.PHP02,1,MOH1.2020,PHP02
2,DTS.BLUE,3,44127238,6.7021928656594,1428701,237134337,MOH1.2020.PHP02,2,MOH1.2020,PHP02
1,DTA.BLUE,8,11046171,6.14998652521601,443274,178960270,MOH1.2020.PHZ51,1,MOH1.2020,PHZ51
4,Yield.t.ha.BLUE,7,145095378,7.35367645022197,142059270,175231407,NEH1.2021.PHZ51,1,NEH1.2021,PHZ51
1,DTA.BLUE,8,113367268,6.54352179127621,5473165,180354399,TXH1.2020.PHZ51,1,TXH1.2020,PHZ51
2,DTS.BLUE,8,138993684,6.08002007284132,443274,180364070,TXH1.2020.PHZ51,2,TXH1.2020,PHZ51
3,ASI,4,8035843,6.3198616949718,3851632,249056443,TXH1.2020.PHZ51,3,TXH1.2020,PHZ51
2,DTS.BLUE,8,138924882,7.35953966249032,23112851,170903251,TXH2.2020.PHZ51,1,TXH2.2020,PHZ51
4,Yield.t.ha.BLUE,10,130092379,6.40766764277472,1010287,150847870,TXH2.2020.PHZ51,2,TXH2.2020,PHZ51
1,DTA.BLUE,3,170872489,7.24700430966425,1213108,205652969,WIH2.2020.PHP02,1,WIH2.2020,PHP02
2,DTS.BLUE,3,1694805,6.70512193993106,1213108,208223061,WIH2.2020.PHP02,2,WIH2.2020,PHP02
2,DTS.BLUE,7,135235693,6.31125679403625,5128239,185225465,WIH2.2020.PHZ51,1,WIH2.2020,PHZ51
3,ASI,10,12451666,6.10508691954874,1010287,151575524,WIH2.2020.PHZ51,2,WIH2.2020,PHZ51
1,DTA.BLUE,8,120906310,6.34669058843583,1628633,181918208,WIH2.2021.PHZ51,1,WIH2.2021,PHZ51
4,Yield.t.ha.BLUE,7,1244731,6.25792107273945,873096,185225465,WIH2.2021.PHZ51,2,WIH2.2021,PHZ51
1,DTA.BLUE,3,163767880,10.0145916700668,142216915,184794196,WIH3.2020.PHP02,1,WIH3.2020,PHP02
2,DTS.BLUE,2,157677505,6.27592517867675,3706839,229535675,WIH3.2020.PHP02,2,WIH3.2020,PHP02
2,DTS.BLUE,3,163767880,9.62413291814167,1428701,184794196,WIH3.2020.PHP02,3,WIH3.2020,PHP02
1,DTA.BLUE,3,181243397,6.46507686311005,1679124,233005722,WIH3.2021.PHP02,1,WIH3.2021,PHP02
