chr,start,end,gene_id,peak_pos,LOD,Phenotype,Env.Tester,Env,Tester,biotype,briefDescription,description,exceptionNote,id,length,name,note,primaryIdentifier,score,scoreType,secondaryIdentifier,source,status,symbol,organism.name,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,goAnnotation.ontologyTerm.identifier
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0005515
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0005634
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0009799
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0009944
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0009954
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0048441
chr3,173839418,173842985,Zm00001eb145150,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216730348.0,3568.0,,,Zm00001eb145150,,,,B73 Zm00001eb.1,,,Zea mays,chr3,173839418.0,173842985.0,GO:0070013
chr3,173841559,173842125,Zm00001eb145160,173840602,6.86111035810503,DTA.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,,,,,,,,,,,,,,,,,,,,
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0005774
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0005886
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0008324
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0009787
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0016021
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:0098655
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:2000022
chr3,23049417,23057160,Zm00001eb125400,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Metal tolerance protein 10,,216629421.0,7744.0,,,Zm00001eb125400,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23049417.0,23057160.0,GO:2000031
chr3,23121682,23122379,Zm00001eb125410,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,,,,,,,,,,,,,,,,,,,,
chr3,23140824,23142180,Zm00001eb125420,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216629492.0,1357.0,,,Zm00001eb125420,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23140824.0,23142180.0,GO:0004088
chr3,23140824,23142180,Zm00001eb125420,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,LOB domain-containing protein,,216629492.0,1357.0,,,Zm00001eb125420,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23140824.0,23142180.0,GO:0010468
chr3,23215976,23219232,Zm00001eb125430,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,DNA ligase,,216629507.0,3257.0,,,Zm00001eb125430,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23215976.0,23219232.0,GO:0016021
chr3,23215976,23219232,Zm00001eb125430,23121706,8.28336421453708,DTS.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,DNA ligase,,216629507.0,3257.0,,,Zm00001eb125430,,,,B73 Zm00001eb.1,,,Zea mays,chr3,23215976.0,23219232.0,GO:0016874
chr4,150238477,150256136,Zm00001eb185420,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,,,,,,,,,,,,,,,,,,,,
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0006470
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0009570
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0010027
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0017018
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0046872
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0071482
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0106306
chr4,150312700,150314075,Zm00001eb185430,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937764.0,1376.0,,,Zm00001eb185430,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150312700.0,150314075.0,GO:0106307
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0006470
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0009570
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0010027
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0017018
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0046872
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0071482
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0106306
chr4,150353626,150354624,Zm00001eb185440,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,Protein phosphatase,,216937775.0,999.0,,,Zm00001eb185440,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150353626.0,150354624.0,GO:0106307
