primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00001eb314080,LOC103632816,,BRCT domain-containing protein,chr7,126760134,126764492,1,GO:0016853 | isomerase activity | molecular_function
Zm00018ab330190,,,,chr7,126761674,126766839,1,GO:0016021 | integral component of membrane | cellular_component
Zm00033ab334020,,,LysM domain-containing GPI-anchored protein 1,chr7,126766240,126769043,4,GO:0005886 | plasma membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0031225 | anchored component of membrane | cellular_component; GO:0045087 | innate immune response | biological_process
Zm00001eb314090,,,Copper transporter,chr7,126767874,126769078,12,GO:0005375 | copper ion transmembrane transporter activity | molecular_function; GO:0005770 | late endosome | cellular_component; GO:0005774 | vacuolar membrane | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006878 | cellular copper ion homeostasis | biological_process; GO:0009506 | plasmodesma | cellular_component; GO:0009737 | response to abscisic acid | biological_process; GO:0015680 | protein maturation by copper ion transfer | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0035434 | copper ion transmembrane transport | biological_process; GO:0071702 | organic substance transport | biological_process
Zm00020ab319800,,,Terminal organelle assembly protein,chr7,126769154,126771048,7,GO:0002098 | tRNA wobble uridine modification | biological_process; GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0017182 | peptidyl-diphthamide metabolic process | biological_process; GO:0044249 | cellular biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:1900247 | regulation of cytoplasmic translational elongation | biological_process
Zm00024ab321160,,,PDAT,chr7,126771439,126777871,8,GO:0005773 | vacuole | cellular_component; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0006629 | lipid metabolic process | biological_process; GO:0008374 | O-acyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0044249 | cellular biosynthetic process | biological_process; GO:0046027 | phospholipid:diacylglycerol acyltransferase activity | molecular_function; GO:1901576 | organic substance biosynthetic process | biological_process
Zm00021ab320230,,,Hexosyltransferase,chr7,126773795,126776823,5,GO:0000139 | Golgi membrane | cellular_component; GO:0006486 | protein glycosylation | biological_process; GO:0008194 | UDP-glycosyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016758 | hexosyltransferase activity | molecular_function
Zm00032ab328790,LOC103632816,,BRCT domain-containing protein,chr7,126774020,126778378,1,GO:0016853 | isomerase activity | molecular_function
Zm00026ab318540,,,1-aminocyclopropane-1-carboxylate oxidase (Fragment),chr7,126777692,126779485,6,GO:0009692 | ethylene metabolic process | biological_process; GO:0009835 | fruit ripening | biological_process; GO:0016491 | oxidoreductase activity | molecular_function; GO:0031418 | L-ascorbic acid binding | molecular_function; GO:0043450 | alkene biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00032ab328800,,,Copper transporter,chr7,126781550,126783038,12,GO:0005375 | copper ion transmembrane transporter activity | molecular_function; GO:0005770 | late endosome | cellular_component; GO:0005774 | vacuolar membrane | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006878 | cellular copper ion homeostasis | biological_process; GO:0009506 | plasmodesma | cellular_component; GO:0009737 | response to abscisic acid | biological_process; GO:0015680 | protein maturation by copper ion transfer | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0035434 | copper ion transmembrane transport | biological_process; GO:0071702 | organic substance transport | biological_process
