lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi,Env.Tester,FPCA_type,marker,Env,Tester
2,FPC2_NGRDI,3,148504162,6.48351155472136,1213108,237134337,DEH1.2020.PHK76,AGDD,1,DEH1.2020,PHK76
4,FPC4_NGRDI,2,41252280,6.22467009060404,2921816,243129967,DEH1.2020.PHK76,AGDD,2,DEH1.2020,PHK76
4,FPC4_NGRDI,3,144669152,6.57782454048704,1284825,237134337,DEH1.2020.PHK76,AGDD,3,DEH1.2020,PHK76
4,FPC4_NGRDI,4,35083873,6.33915117444488,1034184,246100914,DEH1.2020.PHK76,AGDD,4,DEH1.2020,PHK76
5,FPC5_NGRDI,3,144669152,6.75390660512135,15010748,232761080,DEH1.2020.PHK76,AGDD,5,DEH1.2020,PHK76
5,FPC5_NGRDI,4,11299745,6.86263025201478,1700743,187294438,DEH1.2020.PHK76,AGDD,6,DEH1.2020,PHK76
5,FPC5_NGRDI,9,154040426,6.73766695095182,8165496,159188357,DEH1.2020.PHK76,AGDD,7,DEH1.2020,PHK76
6,FPC6_NGRDI,2,40276806,6.53663592218473,1904138,241207796,DEH1.2020.PHK76,AGDD,8,DEH1.2020,PHK76
7,FPC7_NGRDI,2,40276806,6.84493623515822,1805311,242181802,DEH1.2020.PHK76,AGDD,9,DEH1.2020,PHK76
2,FPC2_NGRDI,2,173278492,6.10619201255026,837221,239655839,DEH1.2020.PHP02,AGDD,1,DEH1.2020,PHP02
2,FPC2_NGRDI,4,161322905,6.59873704148883,6215875,249558909,DEH1.2020.PHP02,AGDD,2,DEH1.2020,PHP02
4,FPC4_NGRDI,3,169571911,6.34601225503781,1213108,232323661,DEH1.2020.PHP02,AGDD,3,DEH1.2020,PHP02
4,FPC4_NGRDI,4,133977209,6.66145824330093,5076251,249886586,DEH1.2020.PHP02,AGDD,4,DEH1.2020,PHP02
4,FPC4_NGRDI,7,131799505,9.2066546035332,9433952,147716439,DEH1.2020.PHP02,AGDD,5,DEH1.2020,PHP02
4,FPC4_NGRDI,9,20686359,7.87972047882012,12402531,112214999,DEH1.2020.PHP02,AGDD,6,DEH1.2020,PHP02
5,FPC5_NGRDI,3,181366238,7.31498930419445,29344519,210847595,DEH1.2020.PHP02,AGDD,7,DEH1.2020,PHP02
5,FPC5_NGRDI,7,131084653,8.79900809708646,8740984,142057683,DEH1.2020.PHP02,AGDD,8,DEH1.2020,PHP02
6,FPC6_NGRDI,4,70458016,6.19000643139085,1034184,243158561,DEH1.2020.PHP02,AGDD,9,DEH1.2020,PHP02
6,FPC6_NGRDI,9,20970960,7.36935058962112,14601627,155362287,DEH1.2020.PHP02,AGDD,10,DEH1.2020,PHP02
7,FPC7_NGRDI,9,20970960,7.07856549457635,14601627,155904956,DEH1.2020.PHP02,AGDD,11,DEH1.2020,PHP02
1,FPC1_NGRDI,2,239107259,6.05366423688176,3706839,243129967,DEH1.2020.PHZ51,AGDD,1,DEH1.2020,PHZ51
2,FPC2_NGRDI,3,159744778,7.21518566191431,125624844,233004678,DEH1.2020.PHZ51,AGDD,2,DEH1.2020,PHZ51
4,FPC4_NGRDI,2,22361262,7.3587210253841,3509900,242181802,DEH1.2020.PHZ51,AGDD,3,DEH1.2020,PHZ51
4,FPC4_NGRDI,9,15727499,6.44027879658156,1793806,162741970,DEH1.2020.PHZ51,AGDD,4,DEH1.2020,PHZ51
4,FPC4_NGRDI,3,176717359,8.28997017124467,2648877,206237253,IAH4.2021.PHK76,AGDD,1,IAH4.2021,PHK76
4,FPC4_NGRDI,5,186323744,7.59454038075554,13804099,219891037,IAH4.2021.PHK76,AGDD,2,IAH4.2021,PHK76
5,FPC5_NGRDI,3,174209057,7.21882474695853,2648877,237134337,IAH4.2021.PHK76,AGDD,3,IAH4.2021,PHK76
5,FPC5_NGRDI,5,186323744,6.6592416891666,2565954,220064117,IAH4.2021.PHK76,AGDD,4,IAH4.2021,PHK76
5,FPC5_NGRDI,7,135786146,6.69016858213206,873096,175488236,IAH4.2021.PHK76,AGDD,5,IAH4.2021,PHK76
7,FPC7_NGRDI,5,187072760,8.04202367923577,40897961,214493508,IAH4.2021.PHK76,AGDD,6,IAH4.2021,PHK76
4,FPC4_NGRDI,5,172216513,9.84550361811724,66606623,198353721,IAH4.2021.PHP02,AGDD,1,IAH4.2021,PHP02
4,FPC4_NGRDI,7,132563818,7.55560990425496,9704275,179922921,IAH4.2021.PHP02,AGDD,2,IAH4.2021,PHP02
4,FPC4_NGRDI,9,150751063,6.56655915368476,3054024,161902902,IAH4.2021.PHP02,AGDD,3,IAH4.2021,PHP02
