chr,start,end,gene_id,peak_pos,LOD,Phenotype,Env.Tester,Env,FPCA_Type,Tester,biotype,briefDescription,description,exceptionNote,id,length,name,note,primaryIdentifier,score,scoreType,secondaryIdentifier,source,status,symbol,organism.name,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,goAnnotation.ontologyTerm.identifier
chr3,148425606,148426221,Zm00001eb140300,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr3,148427365,148428506,Zm00001eb140310,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Single-stranded nucleic acid binding R3H protein,,216703669.0,1142.0,,,Zm00001eb140310,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148427365.0,148428506.0,GO:0003676
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0004601
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0005576
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0006979
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0009505
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0009506
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0020037
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0042744
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0046872
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0048658
chr3,148431186,148433333,Zm00001eb140320,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Peroxidase,,216703682.0,2148.0,,,Zm00001eb140320,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148431186.0,148433333.0,GO:0098869
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0003723
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0003735
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0005829
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0005840
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0016021
