lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi,Env.Tester,FPCA_type,Env,Tester,ci_width
1,FPC1_NGRDI,3,144669152,6.86679223370424,125624844,150385697,DEH1.2020.PHK76,DAP,DEH1.2020,PHK76,24760853
2,FPC2_NGRDI,4,35662180,6.23769918220071,5900154,55392923,DEH1.2020.PHK76,DAP,DEH1.2020,PHK76,49492769
3,FPC3_NGRDI,1,89135921,6.88074148311039,81015591,94909845,DEH1.2020.PHK76,DAP,DEH1.2020,PHK76,13894254
4,FPC4_NGRDI,1,89050108,7.59427347066949,82442847,95101995,DEH1.2020.PHK76,DAP,DEH1.2020,PHK76,12659148
5,FPC5_NGRDI,1,89050108,6.35593405353518,83843888,158206780,DEH1.2020.PHK76,DAP,DEH1.2020,PHK76,74362892
1,FPC1_NGRDI,3,169283891,7.24943313659179,158251508,170817006,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,12565498
1,FPC1_NGRDI,4,31837742,6.32608251189251,12659645,148686273,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,136026628
1,FPC1_NGRDI,7,132530564,9.22544136558375,130564318,133463734,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,2899416
1,FPC1_NGRDI,9,18888265,6.75848308141621,14993530,20983356,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,5989826
1,FPC1_NGRDI,10,9744567,6.31557210890194,9362633,10694670,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,1332037
2,FPC2_NGRDI,1,86637797,8.48515726102282,69184168,164513316,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,95329148
2,FPC2_NGRDI,4,46917233,7.74917443255239,39070571,157526169,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,118455598
3,FPC3_NGRDI,7,146640999,6.75097319522233,138255849,149013506,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,10757657
3,FPC3_NGRDI,9,20971826,7.28468555819012,18073200,29027905,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,10954705
4,FPC4_NGRDI,7,146668875,6.32828509444588,142668078,147731690,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,5063612
4,FPC4_NGRDI,9,20970960,7.68380229537049,19320598,21049526,DEH1.2020.PHP02,DAP,DEH1.2020,PHP02,1728928
1,FPC1_NGRDI,2,9566010,7.92991863745044,7531594,10591094,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,3059500
1,FPC1_NGRDI,3,156278256,6.60666519656411,144033220,159744778,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,15711558
1,FPC1_NGRDI,5,191202589,6.97636421520033,90619807,193377969,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,102758162
1,FPC1_NGRDI,9,19345043,7.66280531176175,14993530,22302338,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,7308808
2,FPC2_NGRDI,3,176083701,6.37408225464794,171121425,183845793,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,12724368
3,FPC3_NGRDI,9,15727499,6.31969906264242,14601627,17878210,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,3276583
4,FPC4_NGRDI,1,88833700,6.72526944980542,83635576,89146323,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,5510747
4,FPC4_NGRDI,9,15727499,6.38200986998139,14993530,17878210,DEH1.2020.PHZ51,DAP,DEH1.2020,PHZ51,2884680
1,FPC1_NGRDI,1,284780918,6.06759769363115,280297408,287896406,IAH4.2021.PHK76,DAP,IAH4.2021,PHK76,7598998
2,FPC2_NGRDI,5,162643404,7.40959719714994,90103895,191364291,IAH4.2021.PHK76,DAP,IAH4.2021,PHK76,101260396
3,FPC3_NGRDI,3,162919322,6.78012862262828,160751600,164249718,IAH4.2021.PHK76,DAP,IAH4.2021,PHK76,3498118
1,FPC1_NGRDI,7,132660825,7.26316424890879,131549183,138089853,IAH4.2021.PHP02,DAP,IAH4.2021,PHP02,6540670
2,FPC2_NGRDI,5,186178131,6.55153529135973,171768041,196873551,IAH4.2021.PHP02,DAP,IAH4.2021,PHP02,25105510
4,FPC4_NGRDI,1,102373219,7.49620919961338,98082969,180913180,IAH4.2021.PHP02,DAP,IAH4.2021,PHP02,82830211
5,FPC5_NGRDI,5,186238226,6.8854858457453,177133110,188210317,IAH4.2021.PHP02,DAP,IAH4.2021,PHP02,11077207
